Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
14.000000,51.304898,1.702951,49.601947,12.819249,56.768760,1.702951,55.065808,11.594455,69.350721,1.702951,67.647770,10.323977,59.210828,1.702951,57.507876,9.006110,75.113204,1.702951,73.410252,7.639086,96.200845,1.702951,94.497893,6.221073,105.987936,1.702951,104.284984,4.750167,121.419493,1.702951,119.716542,3.224397,119.887383,1.702951,118.184431,1.641715,105.921130,1.702951,104.218178,0,87.257892,0,87.257892,0,79.771923,0,79.771923,0,72.349654,0,72.349654,0,70.485736,0,70.485736,0,86.191374,0,86.191374,0,85.816469,0,85.816469,0,90.490846,0,90.490846,0,76.121549,0,76.121549,0,79.177293,0,79.177293,0,87.044087,0,87.044087,1,0.000000,0.000000
14.000000,55.355264,1.702951,53.652312,12.819249,48.814764,1.702951,47.111812,11.594455,38.335614,1.702951,36.632663,10.323977,47.789789,1.702951,46.086838,9.006110,64.591998,1.702951,62.889047,7.639086,66.008112,1.702951,64.305160,6.221073,76.042222,1.702951,74.339270,4.750167,65.625675,1.702951,63.922724,3.224397,57.425283,1.702951,55.722332,1.641715,52.119618,1.702951,50.416666,0,65.599394,0,65.599394,0,59.503205,0,59.503205,0,49.117437,0,49.117437,0,49.593197,0,49.593197,0,43.079574,0,43.079574,0,42.424422,0,42.424422,0,40.575754,0,40.575754,0,46.050881,0,46.050881,0,46.002317,0,46.002317,0,39.102513,0,39.102513,1,0.000000,0.000000
14.000000,55.699613,1.702951,53.996661,12.819249,66.176332,1.702951,64.473380,11.594455,60.630661,1.702951,58.927710,10.323977,78.692264,1.702951,76.989312,9.006110,94.222583,1.702951,92.519631,7.639086,95.789538,1.702951,94.086586,6.221073,119.357420,1.702951,117.654468,4.750167,85.579408,1.702951,83.876456,3.224397,98.745129,1.702951,97.042178,1.641715,81.965881,1.702951,80.262929,0,96.508040,0,96.508040,0,87.391018,0,87.391018,0,75.376979,0,75.376979,0,78.524011,0,78.524011,0,70.958818,0,70.958818,0,80.002627,0,80.002627,0,66.643552,0,66.643552,0,58.041732,0,58.041732,0,61.094046,0,61.094046,0,66.210797,0,66.210797,1,0.000000,0.000000
14.000000,47.136619,1.702951,45.433667,12.819249,65.744307,1.702951,64.041355,11.594455,69.145369,1.702951,67.442417,10.323977,82.877163,1.702951,81.174212,9.006110,90.581395,1.702951,88.878443,7.639086,69.420036,1.702951,67.717084,6.221073,86.369740,1.702951,84.666788,4.750167,61.135802,1.702951,59.432851,3.224397,78.345430,1.702951,76.642478,1.641715,84.573138,1.702951,82.870186,0,86.640011,0,86.640011,0,108.982513,0,108.982513,0,88.098865,0,88.098865,0,85.449253,0,85.449253,0,91.431016,0,91.431016,0,88.144885,0,88.144885,0,93.541833,0,93.541833,0,103.311726,0,103.311726,0,113.202698,0,113.202698,0,127.879535,0,127.879535,1,0.000000,0.000000
14.000000,56.401920,1.702951,54.698968,12.819249,43.539454,1.702951,41.836502,11.594455,50.279913,1.702951,48.576961,10.323977,50.829064,1.702951,49.126112,9.006110,56.638983,1.702951,54.936032,7.639086,59.908289,1.702951,58.205337,6.221073,68.824577,1.702951,67.121626,4.750167,78.991497,1.702951,77.288546,3.224397,87.177463,1.702951,85.474512,1.641715,109.007465,1.702951,107.304514,0,116.243106,0,116.243106,0,123.580748,0,123.580748,0,133.305725,0,133.305725,0,90.007535,0,90.007535,0,73.728707,0,73.728707,0,72.893097,0,72.893097,0,76.142776,0,76.142776,0,70.823781,0,70.823781,0,67.299644,0,67.299644,0,79.674956,0,79.674956,1,0.000000,0.000000
14.000000,61.778773,1.702951,60.075821,12.819249,62.421508,1.702951,60.718557,11.594455,77.650001,1.702951,75.947049,10.323977,74.632756,1.702951,72.929804,9.006110,78.722303,1.702951,77.019352,7.639086,69.821967,1.702951,68.119016,6.221073,65.612854,1.702951,63.909903,4.750167,51.702900,1.702951,49.999948,3.224397,61.526502,1.702951,59.823551,1.641715,64.002177,1.702951,62.299225,0,64.811554,0,64.811554,0,64.814110,0,64.814110,0,57.058108,0,57.058108,0,81.555661,0,81.555661,0,58.004514,0,58.004514,0,58.188435,0,58.188435,0,42.702330,0,42.702330,0,43.728418,0,43.728418,0,50.046927,0,50.046927,0,49.981672,0,49.981672,1,0.000000,0.000000
14.000000,64.333493,1.702951,62.630542,12.819249,75.132682,1.702951,73.429730,11.594455,77.055106,1.702951,75.352155,10.323977,72.661210,1.702951,70.958258,9.006110,54.759121,1.702951,53.056170,7.639086,64.658888,1.702951,62.955937,6.221073,68.284782,1.702951,66.581830,4.750167,60.422660,1.702951,58.719709,3.224397,70.650853,1.702951,68.947901,1.641715,79.656965,1.702951,77.954013,0,62.612534,0,62.612534,0,48.881851,0,48.881851,0,32.615228,0,32.615228,0,26.504411,0,26.504411,0,31.271005,0,31.271005,0,28.670313,0,28.670313,0,19.639008,0,19.639008,0,19.748366,0,19.748366,0,17.666137,0,17.666137,0,21.044862,0,21.044862,1,0.000000,0.000000
14.000000,64.687345,1.702951,62.984394,12.819249,76.393461,1.702951,74.690510,11.594455,75.594578,1.702951,73.891627,10.323977,78.334605,1.702951,76.631653,9.006110,71.022701,1.702951,69.319750,7.639086,70.760083,1.702951,69.057131,6.221073,80.229847,1.702951,78.526896,4.750167,73.909360,1.702951,72.206408,3.224397,70.551273,1.702951,68.848322,1.641715,86.410049,1.702951,84.707097,0,84.742303,0,84.742303,0,78.442506,0,78.442506,0,67.743540,0,67.743540,0,75.130186,0,75.130186,0,73.551741,0,73.551741,0,55.039702,0,55.039702,0,48.373005,0,48.373005,0,45.774470,0,45.774470,0,42.405972,0,42.405972,0,37.382163,0,37.382163,1,0.000000,0.000000
14.000000,69.924289,1.702951,68.221338,12.819249,67.950972,1.702951,66.248021,11.594455,74.463309,1.702951,72.760358,10.323977,79.115327,1.702951,77.412376,9.006110,60.274395,1.702951,58.571443,7.639086,61.348988,1.702951,59.646037,6.221073,69.720411,1.702951,68.017460,4.750167,63.651337,1.702951,61.948386,3.224397,63.551815,1.702951,61.848864,1.641715,58.365474,1.702951,56.662523,0,58.024680,0,58.024680,0,58.673546,0,58.673546,0,66.879270,0,66.879270,0,61.270533,0,61.270533,0,64.898994,0,64.898994,0,59.033407,0,59.033407,0,53.833612,0,53.833612,0,48.891933,0,48.891933,0,47.163340,0,47.163340,0,40.876354,0,40.876354,1,0.000000,0.000000
14.000000,53.606636,1.702951,51.903685,12.819249,55.305604,1.702951,53.602653,11.594455,64.915830,1.702951,63.212878,10.323977,66.106547,1.702951,64.403596,9.006110,77.986108,1.702951,76.283157,7.639086,67.999633,1.702951,66.296681,6.221073,86.382599,1.702951,84.679647,4.750167,75.275189,1.702951,73.572237,3.224397,85.283330,1.702951,83.580378,1.641715,99.667014,1.702951,97.964063,0,84.579499,0,84.579499,0,119.220632,0,119.220632,0,112.872281,0,112.872281,0,85.438984,0,85.438984,0,77.086577,0,77.086577,0,63.862072,0,63.862072,0,63.088462,0,63.088462,0,66.788379,0,66.788379,0,60.385187,0,60.385187,0,74.445640,0,74.445640,1,0.000000,0.000000
