Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
17.007000,39.742025,0.680202,39.061822,16.961159,43.974465,1.103447,42.871019,16.490363,53.720759,2.068721,51.652038,15.036733,45.866150,1.292615,44.573535,14.304988,58.184518,2.068721,56.115797,12.769843,74.519519,2.068721,72.450798,11.177437,82.100838,2.068721,80.032117,9.525634,94.054499,2.068721,91.985778,7.812219,92.867689,2.068721,90.798968,6.034894,82.049089,2.068721,79.980368,4.191274,67.592090,2.068721,65.523369,2.278888,61.793276,2.068721,59.724555,0.295169,56.043806,0.306179,55.737627,0.000000,54.599969,0.000000,54.599969,0.000000,66.765939,0.000000,66.765939,0.000000,66.475529,0.000000,66.475529,0.000000,70.096415,0.000000,70.096415,0.000000,58.965607,0.000000,58.965607,0.000000,61.332661,0.000000,61.332661,0.000000,67.426471,0.000000,67.426471,1,0.000000,0.000000
17.007000,42.879536,0.993954,41.885583,16.647407,37.813106,0.487311,37.325795,16.781045,29.695701,0.000000,29.695701,17.406978,37.019135,0.407914,36.611222,17.648345,50.034536,1.709454,48.325082,16.597175,51.131492,1.819149,49.312343,15.397100,58.904158,2.068721,56.835437,13.902691,50.835248,1.789525,49.045723,12.631736,44.483024,1.154302,43.328722,11.948598,40.373126,0.743313,39.629814,11.650968,50.814889,1.787489,49.027400,10.298060,46.092633,1.315263,44.777370,9.366914,38.047564,0.510756,37.536808,9.205544,38.416099,0.547610,37.868489,9.001301,33.370488,0.043049,33.327440,9.294000,32.862992,0.000000,32.862992,9.640666,31.430968,0.000000,31.430968,10.000263,35.672135,0.273214,35.398922,10.100060,35.634516,0.269452,35.365064,10.207340,30.289760,0.000000,27.737925,0,3.817602,1.272534
17.007000,43.146278,1.020628,42.125650,16.620733,51.261799,1.832180,49.429619,15.408507,46.965988,1.402599,45.563389,14.580645,60.956945,2.068721,58.888224,13.055782,72.987109,2.068721,70.918388,11.474042,74.200911,2.068721,72.132190,9.833302,92.457166,2.068721,90.388445,8.131364,66.291895,2.068721,64.223174,6.365942,76.490384,2.068721,74.421663,4.534671,63.492769,2.068721,61.424048,2.635093,74.757480,2.068721,72.688759,0.664661,67.695212,0.689453,67.005760,0.000000,58.388845,0.000000,58.388845,0.000000,60.826613,0.000000,60.826613,0.000000,54.966430,0.000000,54.966430,0.000000,61.971985,0.000000,61.971985,0.000000,51.623720,0.000000,51.623720,0.000000,44.960540,0.000000,44.960540,0.000000,47.324937,0.000000,47.324937,0.000000,51.288497,0.000000,51.288497,1,0.000000,0.000000
17.007000,36.513174,0.357317,36.155857,17.284044,50.927142,1.798714,49.128428,16.130024,53.561688,2.062169,51.499519,14.669505,64.198671,2.068721,62.129950,13.147957,70.166556,2.068721,68.097835,11.569655,53.774452,2.068721,51.705731,9.932482,66.904106,2.068721,64.835385,8.234242,47.357282,1.441728,45.915554,7.099651,60.688280,2.068721,58.619559,5.295747,65.512414,2.068721,63.443693,3.424557,67.113464,2.068721,65.044743,1.483572,84.420511,1.538909,82.881602,0.000000,68.243528,0.000000,68.243528,0.000000,66.191074,0.000000,66.191074,0.000000,70.824694,0.000000,70.824694,0.000000,68.279176,0.000000,68.279176,0.000000,72.459784,0.000000,72.459784,0.000000,80.027781,0.000000,80.027781,0.000000,87.689569,0.000000,87.689569,0.000000,99.058605,0.000000,99.058605,1,0.000000,0.000000
17.007000,43.690302,1.075030,42.615272,16.566331,33.726722,0.078672,33.648050,17.105583,38.948046,0.600805,38.347241,17.142817,39.373432,0.643343,38.730088,17.138900,43.873937,1.093394,42.780543,16.684788,46.406421,1.346642,45.059779,15.960488,53.313195,2.037319,51.275875,14.518495,61.188739,2.068721,59.120018,12.991314,67.529788,2.068721,65.461067,11.407169,84.439839,2.068721,82.371118,9.763935,90.044743,2.068721,87.976022,8.059409,95.728660,2.068721,93.659938,6.291303,103.261864,2.068721,101.193143,4.457248,69.722031,2.068721,67.653309,2.554782,57.112054,2.068721,55.043332,0.581355,56.464769,0.603039,55.861730,0.000000,58.982050,0.000000,58.982050,0.000000,54.861827,0.000000,54.861827,0.000000,52.131945,0.000000,52.131945,0.000000,61.718163,0.000000,61.718163,1,0.000000,0.000000
17.007000,47.855343,1.491534,46.363809,16.149827,48.353222,1.541322,46.811899,15.210893,60.149583,2.068721,58.080862,13.709538,57.812352,2.068721,55.743631,12.152183,60.980215,2.068721,58.911494,10.536738,54.085798,2.068721,52.017076,8.861038,50.825316,1.788532,49.036784,7.403023,40.050326,0.711033,39.339294,6.968123,47.659928,1.471993,46.187936,5.756041,49.577646,1.663765,47.913882,4.306977,50.204609,1.726461,48.478149,2.741166,50.206589,1.726659,48.479930,1.116753,44.198601,1.125860,43.072741,0.032547,63.175003,0.033761,63.141241,0.000000,44.931711,0.000000,44.931711,0.000000,45.074180,0.000000,45.074180,0.000000,33.078266,0.000000,33.078266,0.000000,33.873098,0.000000,33.873098,0.000000,38.767570,0.000000,38.767570,0.000000,38.717021,0.000000,38.717021,1,0.000000,0.000000
17.007000,49.834292,1.689429,48.144863,15.951932,58.199606,2.068721,56.130885,14.478218,59.688764,2.068721,57.620042,12.949534,56.285144,2.068721,54.216423,11.363831,42.417750,0.947775,41.469975,10.839927,50.086351,1.714635,48.371716,9.529621,52.895056,1.995506,50.899551,7.889570,46.804865,1.386487,45.418379,6.797365,54.727873,2.068721,52.659152,4.982185,61.704226,2.068721,59.635505,3.099300,48.501195,1.556119,46.945075,1.658784,37.865073,0.492507,37.372566,1.228149,25.264551,0.000000,25.264551,1.273959,20.530963,0.000000,20.530963,1.321478,24.223283,0.000000,24.223283,1.370769,22.208723,0.000000,22.208723,1.421899,15.212854,0.000000,15.212854,1.474936,15.297566,0.000000,15.297566,1.529951,13.684620,0.000000,13.684620,1.587018,16.301863,0.000000,15.905108,0,0.593554,0.197851
17.007000,50.108394,1.716839,48.391555,15.924522,59.176237,2.068721,57.107516,14.449785,58.557403,2.068721,56.488682,12.920041,60.679894,2.068721,58.611173,11.333238,55.015915,2.068721,52.947194,9.687246,54.812485,2.068721,52.743764,7.979859,62.147995,2.068721,60.079274,6.208787,57.251992,2.068721,55.183271,4.371654,54.650736,2.068721,52.582015,2.465995,66.935330,2.068721,64.866609,0.489256,65.643454,0.507505,65.135949,0.000000,60.763477,0.000000,60.763477,0.000000,52.475797,0.000000,52.475797,0.000000,58.197674,0.000000,58.197674,0.000000,56.974971,0.000000,56.974971,0.000000,42.635094,0.000000,42.635094,0.000000,37.470909,0.000000,37.470909,0.000000,35.458021,0.000000,35.458021,0.000000,32.848700,0.000000,32.848700,0.000000,28.957134,0.000000,28.957134,1,0.000000,0.000000
17.007000,54.165059,2.068721,52.096338,15.572640,52.636479,1.969648,50.666831,14.183852,57.681094,2.068721,55.612373,12.644188,61.284661,2.068721,59.215940,11.047095,46.690015,1.375002,45.315014,10.084150,47.522422,1.458242,46.064179,9.002047,54.007130,2.068721,51.938409,7.269102,49.305877,1.636588,47.669290,5.903652,49.228785,1.628879,47.599907,4.494980,45.211319,1.227132,43.984187,3.435511,44.947331,1.200733,43.746598,2.362922,45.449959,1.250996,44.198963,1.200063,51.806313,1.244826,50.561487,0.000000,47.461648,0.000000,47.461648,0.000000,50.272342,0.000000,50.272342,0.000000,45.728716,0.000000,45.728716,0.000000,41.700828,0.000000,41.700828,0.000000,37.872883,0.000000,37.872883,0.000000,36.533873,0.000000,36.533873,0.000000,31.663820,0.000000,31.663820,1,0.000000,0.000000
17.007000,41.525007,0.858501,40.666506,16.782860,42.841069,0.990107,41.850962,16.418754,50.285384,1.734538,48.550846,15.296635,51.207743,1.826774,49.380969,14.040426,60.409940,2.068721,58.341219,12.495412,52.674173,1.973417,50.700756,10.988074,66.914067,2.068721,64.845345,9.329208,58.309996,2.068721,56.241275,7.608466,66.062546,2.068721,63.993825,5.823541,77.204498,2.068721,75.135777,3.972038,65.517341,2.068721,63.448620,2.051474,92.351208,2.068721,90.282487,0.059273,87.433620,0.061484,87.372136,0.000000,66.183119,0.000000,66.183119,0.000000,59.713142,0.000000,59.713142,0.000000,49.469117,0.000000,49.469117,0.000000,48.869860,0.000000,48.869860,0.000000,51.735907,0.000000,51.735907,0.000000,46.775838,0.000000,46.775838,0.000000,57.667407,0.000000,57.667407,1,0.000000,0.000000
