Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
17.007000,39.742025,2.068721,37.673304,15.572640,43.974465,2.068721,41.905744,14.084778,53.720759,2.068721,51.652038,12.541420,45.866150,2.068721,43.797429,10.940493,58.184518,2.068721,56.115797,9.279853,74.519519,2.068721,72.450798,7.557270,82.100838,2.068721,80.032117,5.770435,94.054499,2.068721,91.985778,3.916951,92.867689,2.068721,90.798968,1.994332,82.049089,2.068721,79.980368,0,67.592090,0,67.592090,0,61.793276,0,61.793276,0,56.043806,0,56.043806,0,54.599969,0,54.599969,0,66.765939,0,66.765939,0,66.475529,0,66.475529,0,70.096415,0,70.096415,0,58.965607,0,58.965607,0,61.332661,0,61.332661,0,67.426471,0,67.426471,1,0.000000,0.000000
17.007000,42.879536,2.068721,40.810815,15.572640,37.813106,2.068721,35.744385,14.084778,29.695701,2.068721,27.626980,12.541420,37.019135,2.068721,34.950414,10.940493,50.034536,2.068721,47.965815,9.279853,51.131492,2.068721,49.062771,7.557270,58.904158,2.068721,56.835437,5.770435,50.835248,2.068721,48.766527,3.916951,44.483024,2.068721,42.414303,1.994332,40.373126,2.068721,38.304405,0,50.814889,0,50.814889,0,46.092633,0,46.092633,0,38.047564,0,38.047564,0,38.416099,0,38.416099,0,33.370488,0,33.370488,0,32.862992,0,32.862992,0,31.430968,0,31.430968,0,35.672135,0,35.672135,0,35.634516,0,35.634516,0,30.289760,0,30.289760,1,0.000000,0.000000
17.007000,43.146278,2.068721,41.077557,15.572640,51.261799,2.068721,49.193078,14.084778,46.965988,2.068721,44.897267,12.541420,60.956945,2.068721,58.888224,10.940493,72.987109,2.068721,70.918388,9.279853,74.200911,2.068721,72.132190,7.557270,92.457166,2.068721,90.388445,5.770435,66.291895,2.068721,64.223174,3.916951,76.490384,2.068721,74.421663,1.994332,63.492769,2.068721,61.424048,0,74.757480,0,74.757480,0,67.695212,0,67.695212,0,58.388845,0,58.388845,0,60.826613,0,60.826613,0,54.966430,0,54.966430,0,61.971985,0,61.971985,0,51.623720,0,51.623720,0,44.960540,0,44.960540,0,47.324937,0,47.324937,0,51.288497,0,51.288497,1,0.000000,0.000000
17.007000,36.513174,2.068721,34.444453,15.572640,50.927142,2.068721,48.858421,14.084778,53.561688,2.068721,51.492967,12.541420,64.198671,2.068721,62.129950,10.940493,70.166556,2.068721,68.097835,9.279853,53.774452,2.068721,51.705731,7.557270,66.904106,2.068721,64.835385,5.770435,47.357282,2.068721,45.288561,3.916951,60.688280,2.068721,58.619559,1.994332,65.512414,2.068721,63.443693,0,67.113464,0,67.113464,0,84.420511,0,84.420511,0,68.243528,0,68.243528,0,66.191074,0,66.191074,0,70.824694,0,70.824694,0,68.279176,0,68.279176,0,72.459784,0,72.459784,0,80.027781,0,80.027781,0,87.689569,0,87.689569,0,99.058605,0,99.058605,1,0.000000,0.000000
17.007000,43.690302,2.068721,41.621581,15.572640,33.726722,2.068721,31.658001,14.084778,38.948046,2.068721,36.879325,12.541420,39.373432,2.068721,37.304710,10.940493,43.873937,2.068721,41.805216,9.279853,46.406421,2.068721,44.337700,7.557270,53.313195,2.068721,51.244474,5.770435,61.188739,2.068721,59.120018,3.916951,67.529788,2.068721,65.461067,1.994332,84.439839,2.068721,82.371118,0,90.044743,0,90.044743,0,95.728660,0,95.728660,0,103.261864,0,103.261864,0,69.722031,0,69.722031,0,57.112054,0,57.112054,0,56.464769,0,56.464769,0,58.982050,0,58.982050,0,54.861827,0,54.861827,0,52.131945,0,52.131945,0,61.718163,0,61.718163,1,0.000000,0.000000
17.007000,47.855343,2.068721,45.786622,15.572640,48.353222,2.068721,46.284500,14.084778,60.149583,2.068721,58.080862,12.541420,57.812352,2.068721,55.743631,10.940493,60.980215,2.068721,58.911494,9.279853,54.085798,2.068721,52.017076,7.557270,50.825316,2.068721,48.756595,5.770435,40.050326,2.068721,37.981605,3.916951,47.659928,2.068721,45.591207,1.994332,49.577646,2.068721,47.508925,0,50.204609,0,50.204609,0,50.206589,0,50.206589,0,44.198601,0,44.198601,0,63.175003,0,63.175003,0,44.931711,0,44.931711,0,45.074180,0,45.074180,0,33.078266,0,33.078266,0,33.873098,0,33.873098,0,38.767570,0,38.767570,0,38.717021,0,38.717021,1,0.000000,0.000000
17.007000,49.834292,2.068721,47.765571,15.572640,58.199606,2.068721,56.130885,14.084778,59.688764,2.068721,57.620042,12.541420,56.285144,2.068721,54.216423,10.940493,42.417750,2.068721,40.349029,9.279853,50.086351,2.068721,48.017630,7.557270,52.895056,2.068721,50.826335,5.770435,46.804865,2.068721,44.736144,3.916951,54.727873,2.068721,52.659152,1.994332,61.704226,2.068721,59.635505,0,48.501195,0,48.501195,0,37.865073,0,37.865073,0,25.264551,0,25.264551,0,20.530963,0,20.530963,0,24.223283,0,24.223283,0,22.208723,0,22.208723,0,15.212854,0,15.212854,0,15.297566,0,15.297566,0,13.684620,0,13.684620,0,16.301863,0,16.301863,1,0.000000,0.000000
17.007000,50.108394,2.068721,48.039673,15.572640,59.176237,2.068721,57.107516,14.084778,58.557403,2.068721,56.488682,12.541420,60.679894,2.068721,58.611173,10.940493,55.015915,2.068721,52.947194,9.279853,54.812485,2.068721,52.743764,7.557270,62.147995,2.068721,60.079274,5.770435,57.251992,2.068721,55.183271,3.916951,54.650736,2.068721,52.582015,1.994332,66.935330,2.068721,64.866609,0,65.643454,0,65.643454,0,60.763477,0,60.763477,0,52.475797,0,52.475797,0,58.197674,0,58.197674,0,56.974971,0,56.974971,0,42.635094,0,42.635094,0,37.470909,0,37.470909,0,35.458021,0,35.458021,0,32.848700,0,32.848700,0,28.957134,0,28.957134,1,0.000000,0.000000
17.007000,54.165059,2.068721,52.096338,15.572640,52.636479,2.068721,50.567758,14.084778,57.681094,2.068721,55.612373,12.541420,61.284661,2.068721,59.215940,10.940493,46.690015,2.068721,44.621294,9.279853,47.522422,2.068721,45.453700,7.557270,54.007130,2.068721,51.938409,5.770435,49.305877,2.068721,47.237156,3.916951,49.228785,2.068721,47.160064,1.994332,45.211319,2.068721,43.142598,0,44.947331,0,44.947331,0,45.449959,0,45.449959,0,51.806313,0,51.806313,0,47.461648,0,47.461648,0,50.272342,0,50.272342,0,45.728716,0,45.728716,0,41.700828,0,41.700828,0,37.872883,0,37.872883,0,36.533873,0,36.533873,0,31.663820,0,31.663820,1,0.000000,0.000000
17.007000,41.525007,2.068721,39.456286,15.572640,42.841069,2.068721,40.772348,14.084778,50.285384,2.068721,48.216663,12.541420,51.207743,2.068721,49.139022,10.940493,60.409940,2.068721,58.341219,9.279853,52.674173,2.068721,50.605452,7.557270,66.914067,2.068721,64.845345,5.770435,58.309996,2.068721,56.241275,3.916951,66.062546,2.068721,63.993825,1.994332,77.204498,2.068721,75.135777,0,65.517341,0,65.517341,0,92.351208,0,92.351208,0,87.433620,0,87.433620,0,66.183119,0,66.183119,0,59.713142,0,59.713142,0,49.469117,0,49.469117,0,48.869860,0,48.869860,0,51.735907,0,51.735907,0,46.775838,0,46.775838,0,57.667407,0,57.667407,1,0.000000,0.000000
