Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
14.089000,33.318206,0.037821,33.280385,14.576699,36.866524,0.392652,36.473871,14.727758,45.037446,1.209745,43.827702,14.067358,38.452441,0.551244,37.901197,14.040827,48.779693,1.583969,47.195724,12.980580,62.474338,1.713777,60.760561,11.750979,68.830229,1.713777,67.116451,10.475513,78.851724,1.713777,77.137947,9.152472,77.856748,1.713777,76.142970,7.780082,68.786844,1.713777,67.073066,6.356501,56.666645,1.713777,54.952867,4.879822,51.805139,1.713777,50.091361,3.348062,46.985001,1.404500,45.580501,2.068444,45.774543,1.283454,44.491089,0.862143,55.974031,0.894301,55.079730,0.000000,55.730562,0.000000,55.730562,0.000000,58.766175,0.000000,58.766175,0.000000,49.434529,0.000000,49.434529,0.000000,51.418977,0.000000,51.418977,0.000000,56.527796,0.000000,56.527796,1,0.000000,0.000000
14.089000,35.948577,0.300858,35.647719,14.313662,31.701074,0.000000,31.701074,14.847562,24.895750,0.000000,24.895750,15.401376,31.035439,0.000000,31.035439,15.975847,41.947057,0.900706,41.046351,15.671040,42.866704,0.992670,41.874033,15.262900,49.383012,1.644301,47.738711,14.187905,42.618343,0.967834,41.650509,13.749279,37.292880,0.435288,36.857592,13.826839,33.847298,0.090730,33.756568,14.251851,42.601276,0.966128,41.635148,13.817317,38.642315,0.570232,38.072084,13.762472,31.897635,0.000000,31.897635,14.275812,32.206600,0.000000,32.206600,14.808300,27.976552,0.000000,27.976552,15.360649,27.551086,0.000000,27.551086,15.933601,26.350532,0.000000,26.350532,16.527925,29.906165,0.000000,29.906165,17.144416,29.874626,0.000000,29.874626,17.783903,25.393786,0.000000,20.947810,0,6.651279,2.217093
14.089000,36.172203,0.323220,35.848982,14.291299,42.975948,1.003595,41.972353,13.820770,39.374503,0.643450,38.731052,13.692835,51.103991,1.713777,49.390214,12.489800,61.189624,1.713777,59.475847,11.241892,62.207229,1.713777,60.493452,9.947437,77.512581,1.713777,75.798804,8.604699,55.576610,1.713777,53.862833,7.211877,64.126636,1.713777,62.412859,5.767103,53.229929,1.713777,51.516152,4.268439,62.673836,1.713777,60.960059,2.713874,56.753098,1.713777,55.039321,1.101324,48.950993,1.142403,47.808589,0.000000,50.994725,0.000000,50.994725,0.000000,46.081770,0.000000,46.081770,0.000000,51.954962,0.000000,51.954962,0.000000,43.279368,0.000000,43.279368,0.000000,37.693211,0.000000,37.693211,0.000000,39.675432,0.000000,39.675432,0.000000,42.998330,0.000000,42.998330,1,0.000000,0.000000
14.089000,30.611260,0.000000,30.611260,14.614520,42.695384,0.975538,41.719846,14.184103,44.904087,1.196409,43.707679,13.516761,53.821730,1.713777,52.107953,12.307159,58.824979,1.713777,57.111202,11.052439,45.082461,1.214246,43.868215,10.250449,56.089864,1.713777,54.376087,8.919013,39.702549,0.676255,39.026294,8.575437,50.878752,1.713777,49.164974,7.181524,54.923123,1.713777,53.209346,5.735617,56.265383,1.713777,54.551605,4.235778,70.774954,1.713777,69.061177,2.679995,57.212786,1.713777,55.499008,1.066182,55.492086,1.105950,54.386136,0.000000,59.376737,0.000000,59.376737,0.000000,57.242672,0.000000,57.242672,0.000000,60.747534,0.000000,60.747534,0.000000,67.092256,0.000000,67.092256,0.000000,73.515609,0.000000,73.515609,0.000000,83.046977,0.000000,83.046977,1,0.000000,0.000000
14.089000,36.628292,0.368829,36.259463,14.245691,28.275204,0.000000,28.275204,14.777055,32.652564,0.000000,32.652564,15.328239,33.009192,0.006919,33.002272,15.893063,36.782245,0.384224,36.398020,16.101650,38.905383,0.596538,38.308845,16.105703,44.695760,1.175576,43.520184,15.530870,51.298318,1.713777,49.584540,14.396394,56.614413,1.713777,54.900635,13.219602,70.791159,1.713777,69.077381,11.998916,75.490097,1.713777,73.776320,10.732698,80.255277,1.713777,78.541500,9.419250,86.570830,1.713777,84.857053,8.056811,58.452306,1.713777,56.738528,6.643553,47.880579,1.494058,46.386521,5.397299,47.337921,1.439792,45.898129,4.158826,49.448313,1.650831,47.797482,2.663119,45.994075,1.305407,44.688667,1.457046,43.705445,1.076544,42.628900,0.434850,51.742167,0.451069,51.291098,1,0.000000,0.000000
14.089000,40.120104,0.718010,39.402094,13.896509,40.537507,0.759751,39.777756,13.655098,50.427129,1.713777,48.713352,12.450656,48.467683,1.552768,46.914915,11.362297,51.123499,1.713777,49.409722,10.072334,45.343481,1.240348,44.103133,9.207684,42.610017,0.967002,41.643015,8.584129,33.576675,0.063667,33.513007,8.840649,39.956276,0.701628,39.254649,8.468778,41.564018,0.862402,40.701616,7.922261,42.089640,0.914964,41.174676,7.302798,42.091300,0.915130,41.176170,6.660062,37.054431,0.411443,36.642988,6.497039,52.963526,1.713777,51.249749,5.025601,37.669042,0.472904,37.196138,4.740152,37.788483,0.484848,37.303634,4.432112,27.731563,0.000000,27.731563,4.597429,28.397921,0.000000,28.397921,4.768913,32.501260,0.000000,32.501260,4.946794,32.458882,0.000000,31.222184,0,1.850129,0.616710
14.089000,41.779180,0.883918,40.895262,13.730602,48.792342,1.585234,47.207108,12.657519,50.040795,1.710080,48.330716,11.419565,47.187330,1.424733,45.762597,10.420782,35.561433,0.262143,35.299289,10.547333,41.990497,0.905050,41.085447,10.035699,44.345209,1.140521,43.204688,9.269510,39.239424,0.629942,38.609481,8.985320,45.881773,1.294177,44.587595,8.026296,51.730483,1.713777,50.016705,6.611899,40.661562,0.772156,39.889406,6.086367,31.744641,0.000000,31.744641,6.313388,21.180841,0.000000,21.180841,6.548878,17.212381,0.000000,17.212381,6.793151,20.307881,0.000000,20.307881,7.046535,18.618951,0.000000,18.618951,7.309371,12.753880,0.000000,12.753880,7.582011,12.824899,0.000000,12.824899,7.864820,11.472667,0.000000,11.472667,8.158177,13.666863,0.000000,11.627319,0,3.051204,1.017068
14.089000,42.008977,0.906898,41.102079,13.707622,49.611113,1.667111,47.944001,12.551805,49.092305,1.615231,47.477075,11.404757,50.871722,1.713777,49.157944,10.116377,46.123257,1.318326,44.804931,9.175392,45.952708,1.301271,44.651437,8.216363,52.102522,1.713777,50.388745,6.809056,47.997898,1.505790,46.492108,5.557244,45.817104,1.287710,44.529394,4.476819,56.116042,1.713777,54.402264,2.930027,55.032982,1.713777,53.319204,1.325540,50.941795,1.374982,49.566812,0.000000,43.993718,0.000000,43.993718,0.000000,48.790722,0.000000,48.790722,0.000000,47.765655,0.000000,47.765655,0.000000,35.743646,0.000000,35.743646,0.000000,31.414189,0.000000,31.414189,0.000000,29.726659,0.000000,29.726659,0.000000,27.539104,0.000000,27.539104,0.000000,24.276563,0.000000,24.276563,1,0.000000,0.000000
14.089000,45.409931,1.246993,44.162938,13.367527,44.128428,1.118843,43.009585,12.747293,48.357641,1.541764,46.815877,11.681002,51.378735,1.713777,49.664958,10.402927,39.143138,0.620314,38.522824,10.170642,39.840996,0.690100,39.150896,9.859907,45.277529,1.233753,44.043776,8.993929,41.336177,0.839618,40.496560,8.489785,41.271546,0.833155,40.438392,7.973299,37.903455,0.496346,37.407110,7.774358,37.682137,0.474214,37.207924,7.590127,38.103521,0.516352,37.587169,7.356887,43.432447,1.049245,42.383203,6.582054,39.790045,0.685005,39.105041,6.142560,42.146425,0.920642,41.225782,5.451035,38.337221,0.539722,37.797499,5.114637,34.960392,0.202039,34.758353,5.103374,31.751188,0.000000,31.751188,5.293729,30.628613,0.000000,30.628613,5.491185,26.545746,0.000000,25.172950,0,2.053734,0.684578
14.089000,34.812991,0.187299,34.625692,14.427221,35.916327,0.297633,35.618695,14.667723,42.157359,0.921736,41.235623,14.293093,42.930629,0.999063,41.931566,13.827163,50.645402,1.713777,48.931625,12.629139,44.160029,1.122003,43.038026,11.978203,56.098215,1.713777,54.384438,10.711212,48.884889,1.594489,47.290400,9.516252,55.384333,1.713777,53.670555,8.157431,64.725323,1.713777,63.011546,6.747925,54.927254,1.713777,53.213476,5.285846,77.423749,1.713777,75.709972,3.769230,73.301031,1.713777,71.587253,2.196045,55.485417,1.713777,53.771639,0.564180,50.061233,0.585224,49.476009,0.000000,41.473031,0.000000,41.473031,0.000000,40.970637,0.000000,40.970637,0.000000,43.373422,0.000000,43.373422,0.000000,39.215088,0.000000,39.215088,0.000000,48.346167,0.000000,48.346167,1,0.000000,0.000000
