Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
14.089000,33.318206,1.713777,31.604429,12.900742,36.866524,1.713777,35.152746,11.668163,45.037446,1.713777,43.323669,10.389608,38.452441,1.713777,36.738663,9.063363,48.779693,1.713777,47.065916,7.687649,62.474338,1.713777,60.760561,6.260621,68.830229,1.713777,67.116451,4.780365,78.851724,1.713777,77.137947,3.244895,77.856748,1.713777,76.142970,1.652152,68.786844,1.713777,67.073066,0,56.666645,0,56.666645,0,51.805139,0,51.805139,0,46.985001,0,46.985001,0,45.774543,0,45.774543,0,55.974031,0,55.974031,0,55.730562,0,55.730562,0,58.766175,0,58.766175,0,49.434529,0,49.434529,0,51.418977,0,51.418977,0,56.527796,0,56.527796,1,0.000000,0.000000
14.089000,35.948577,1.713777,34.234799,12.900742,31.701074,1.713777,29.987296,11.668163,24.895750,1.713777,23.181972,10.389608,31.035439,1.713777,29.321662,9.063363,41.947057,1.713777,40.233280,7.687649,42.866704,1.713777,41.152926,6.260621,49.383012,1.713777,47.669235,4.780365,42.618343,1.713777,40.904566,3.244895,37.292880,1.713777,35.579103,1.652152,33.847298,1.713777,32.133520,0,42.601276,0,42.601276,0,38.642315,0,38.642315,0,31.897635,0,31.897635,0,32.206600,0,32.206600,0,27.976552,0,27.976552,0,27.551086,0,27.551086,0,26.350532,0,26.350532,0,29.906165,0,29.906165,0,29.874626,0,29.874626,0,25.393786,0,25.393786,1,0.000000,0.000000
14.089000,36.172203,1.713777,34.458425,12.900742,42.975948,1.713777,41.262171,11.668163,39.374503,1.713777,37.660725,10.389608,51.103991,1.713777,49.390214,9.063363,61.189624,1.713777,59.475847,7.687649,62.207229,1.713777,60.493452,6.260621,77.512581,1.713777,75.798804,4.780365,55.576610,1.713777,53.862833,3.244895,64.126636,1.713777,62.412859,1.652152,53.229929,1.713777,51.516152,0,62.673836,0,62.673836,0,56.753098,0,56.753098,0,48.950993,0,48.950993,0,50.994725,0,50.994725,0,46.081770,0,46.081770,0,51.954962,0,51.954962,0,43.279368,0,43.279368,0,37.693211,0,37.693211,0,39.675432,0,39.675432,0,42.998330,0,42.998330,1,0.000000,0.000000
14.089000,30.611260,1.713777,28.897483,12.900742,42.695384,1.713777,40.981607,11.668163,44.904087,1.713777,43.190310,10.389608,53.821730,1.713777,52.107953,9.063363,58.824979,1.713777,57.111202,7.687649,45.082461,1.713777,43.368683,6.260621,56.089864,1.713777,54.376087,4.780365,39.702549,1.713777,37.988772,3.244895,50.878752,1.713777,49.164974,1.652152,54.923123,1.713777,53.209346,0,56.265383,0,56.265383,0,70.774954,0,70.774954,0,57.212786,0,57.212786,0,55.492086,0,55.492086,0,59.376737,0,59.376737,0,57.242672,0,57.242672,0,60.747534,0,60.747534,0,67.092256,0,67.092256,0,73.515609,0,73.515609,0,83.046977,0,83.046977,1,0.000000,0.000000
14.089000,36.628292,1.713777,34.914514,12.900742,28.275204,1.713777,26.561427,11.668163,32.652564,1.713777,30.938787,10.389608,33.009192,1.713777,31.295414,9.063363,36.782245,1.713777,35.068467,7.687649,38.905383,1.713777,37.191606,6.260621,44.695760,1.713777,42.981983,4.780365,51.298318,1.713777,49.584540,3.244895,56.614413,1.713777,54.900635,1.652152,70.791159,1.713777,69.077381,0,75.490097,0,75.490097,0,80.255277,0,80.255277,0,86.570830,0,86.570830,0,58.452306,0,58.452306,0,47.880579,0,47.880579,0,47.337921,0,47.337921,0,49.448313,0,49.448313,0,45.994075,0,45.994075,0,43.705445,0,43.705445,0,51.742167,0,51.742167,1,0.000000,0.000000
14.089000,40.120104,1.713777,38.406327,12.900742,40.537507,1.713777,38.823730,11.668163,50.427129,1.713777,48.713352,10.389608,48.467683,1.713777,46.753905,9.063363,51.123499,1.713777,49.409722,7.687649,45.343481,1.713777,43.629704,6.260621,42.610017,1.713777,40.896240,4.780365,33.576675,1.713777,31.862897,3.244895,39.956276,1.713777,38.242499,1.652152,41.564018,1.713777,39.850241,0,42.089640,0,42.089640,0,42.091300,0,42.091300,0,37.054431,0,37.054431,0,52.963526,0,52.963526,0,37.669042,0,37.669042,0,37.788483,0,37.788483,0,27.731563,0,27.731563,0,28.397921,0,28.397921,0,32.501260,0,32.501260,0,32.458882,0,32.458882,1,0.000000,0.000000
14.089000,41.779180,1.713777,40.065403,12.900742,48.792342,1.713777,47.078565,11.668163,50.040795,1.713777,48.327018,10.389608,47.187330,1.713777,45.473553,9.063363,35.561433,1.713777,33.847655,7.687649,41.990497,1.713777,40.276719,6.260621,44.345209,1.713777,42.631431,4.780365,39.239424,1.713777,37.525646,3.244895,45.881773,1.713777,44.167995,1.652152,51.730483,1.713777,50.016705,0,40.661562,0,40.661562,0,31.744641,0,31.744641,0,21.180841,0,21.180841,0,17.212381,0,17.212381,0,20.307881,0,20.307881,0,18.618951,0,18.618951,0,12.753880,0,12.753880,0,12.824899,0,12.824899,0,11.472667,0,11.472667,0,13.666863,0,13.666863,1,0.000000,0.000000
14.089000,42.008977,1.713777,40.295200,12.900742,49.611113,1.713777,47.897335,11.668163,49.092305,1.713777,47.378528,10.389608,50.871722,1.713777,49.157944,9.063363,46.123257,1.713777,44.409479,7.687649,45.952708,1.713777,44.238931,6.260621,52.102522,1.713777,50.388745,4.780365,47.997898,1.713777,46.284121,3.244895,45.817104,1.713777,44.103327,1.652152,56.116042,1.713777,54.402264,0,55.032982,0,55.032982,0,50.941795,0,50.941795,0,43.993718,0,43.993718,0,48.790722,0,48.790722,0,47.765655,0,47.765655,0,35.743646,0,35.743646,0,31.414189,0,31.414189,0,29.726659,0,29.726659,0,27.539104,0,27.539104,0,24.276563,0,24.276563,1,0.000000,0.000000
14.089000,45.409931,1.713777,43.696153,12.900742,44.128428,1.713777,42.414650,11.668163,48.357641,1.713777,46.643864,10.389608,51.378735,1.713777,49.664958,9.063363,39.143138,1.713777,37.429360,7.687649,39.840996,1.713777,38.127218,6.260621,45.277529,1.713777,43.563752,4.780365,41.336177,1.713777,39.622400,3.244895,41.271546,1.713777,39.557769,1.652152,37.903455,1.713777,36.189678,0,37.682137,0,37.682137,0,38.103521,0,38.103521,0,43.432447,0,43.432447,0,39.790045,0,39.790045,0,42.146425,0,42.146425,0,38.337221,0,38.337221,0,34.960392,0,34.960392,0,31.751188,0,31.751188,0,30.628613,0,30.628613,0,26.545746,0,26.545746,1,0.000000,0.000000
14.089000,34.812991,1.713777,33.099213,12.900742,35.916327,1.713777,34.202550,11.668163,42.157359,1.713777,40.443581,10.389608,42.930629,1.713777,41.216852,9.063363,50.645402,1.713777,48.931625,7.687649,44.160029,1.713777,42.446251,6.260621,56.098215,1.713777,54.384438,4.780365,48.884889,1.713777,47.171111,3.244895,55.384333,1.713777,53.670555,1.652152,64.725323,1.713777,63.011546,0,54.927254,0,54.927254,0,77.423749,0,77.423749,0,73.301031,0,73.301031,0,55.485417,0,55.485417,0,50.061233,0,50.061233,0,41.473031,0,41.473031,0,40.970637,0,40.970637,0,43.373422,0,43.373422,0,39.215088,0,39.215088,0,48.346167,0,48.346167,1,0.000000,0.000000
14.089000,44.848929,1.713777,43.135151,12.900742,46.188242,1.713777,44.474465,11.668163,59.186658,1.713777,57.472881,10.389608,69.014232,1.713777,67.300454,9.063363,62.776085,1.713777,61.062308,7.687649,41.758811,1.713777,40.045034,6.260621,36.770089,1.713777,35.056312,4.780365,34.840240,1.713777,33.126463,3.244895,28.719996,1.713777,27.006219,1.652152,35.273996,1.713777,33.560218,0,38.907773,0,38.907773,0,50.016077,0,50.016077,0,44.584029,0,44.584029,0,35.422160,0,35.422160,0,42.670104,0,42.670104,0,44.899665,0,44.899665,0,44.417520,0,44.417520,0,43.480300,0,43.480300,0,47.342706,0,47.342706,0,40.549112,0,40.549112,1,0.000000,0.000000
14.089000,30.353011,1.713777,28.639234,12.900742,36.079089,1.713777,34.365311,11.668163,34.272191,1.713777,32.558413,10.389608,37.601509,1.713777,35.887731,9.063363,45.258555,1.713777,43.544778,7.687649,49.397603,1.713777,47.683826,6.260621,51.002324,1.713777,49.288547,4.780365,49.590807,1.713777,47.877029,3.244895,55.020782,1.713777,53.307005,1.652152,48.743015,1.713777,47.029238,0,45.429690,0,45.429690,0,46.698797,0,46.698797,0,37.217433,0,37.217433,0,35.804952,0,35.804952,0,27.073333,0,27.073333,0,20.413952,0,20.413952,0,23.345543,0,23.345543,0,23.373543,0,23.373543,0,24.627967,0,24.627967,0,26.048793,0,26.048793,1,0.000000,0.000000
14.089000,37.975114,1.713777,36.261336,12.900742,36.402409,1.713777,34.688632,11.668163,34.532354,1.713777,32.818577,10.389608,49.898171,1.713777,48.184394,9.063363,53.372728,1.713777,51.658950,7.687649,56.043381,1.713777,54.329603,6.260621,65.795741,1.713777,64.081963,4.780365,81.894077,1.713777,80.180300,3.244895,69.603642,1.713777,67.889865,1.652152,66.535839,1.713777,64.822061,0,60.430521,0,60.430521,0,62.930366,0,62.930366,0,54.504790,0,54.504790,0,53.773387,0,53.773387,0,47.675075,0,47.675075,0,49.868969,0,49.868969,0,43.471122,0,43.471122,0,47.313495,0,47.313495,0,47.765012,0,47.765012,0,44.075096,0,44.075096,1,0.000000,0.000000
14.089000,37.326859,1.713777,35.613082,12.900742,43.153304,1.713777,41.439526,11.668163,40.720532,1.713777,39.006754,10.389608,45.106519,1.713777,43.392742,9.063363,43.223774,1.713777,41.509997,7.687649,45.442423,1.713777,43.728646,6.260621,45.601603,1.713777,43.887825,4.780365,50.867661,1.713777,49.153884,3.244895,54.860200,1.713777,53.146422,1.652152,41.182888,1.713777,39.469111,0,76.919727,0,76.919727,0,75.836021,0,75.836021,0,97.662604,0,97.662604,0,99.722270,0,99.722270,0,82.842672,0,82.842672,0,82.981150,0,82.981150,0,93.735689,0,93.735689,0,65.942520,0,65.942520,0,79.282503,0,79.282503,0,79.500888,0,79.500888,1,0.000000,0.000000
