Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
57.500000,62.739295,2.979930,59.759366,56.664820,69.420896,3.648090,65.772806,55.130329,84.807017,5.186702,79.620315,51.999988,72.407231,3.946723,68.460508,49.992865,91.853792,5.891379,85.962413,45.966219,117.641267,6.994265,110.647002,40.686494,129.609621,6.994265,122.615356,35.209836,148.480432,6.994265,141.486167,29.528898,146.606858,6.994265,139.612593,23.636061,129.527926,6.994265,122.533661,17.523421,106.705185,6.994265,99.710921,11.182780,97.550807,6.461081,91.089727,5.138817,88.474327,5.330494,83.143832,0.000000,86.194995,0.000000,86.194995,0.000000,105.400971,0.000000,105.400971,0.000000,104.942510,0.000000,104.942510,0.000000,110.658672,0.000000,110.658672,0.000000,93.086869,0.000000,93.086869,0.000000,96.823651,0.000000,96.823651,0.000000,106.443729,0.000000,106.443729,1,0.000000,0.000000
57.500000,67.692371,3.475237,64.217134,56.169513,59.694181,2.675418,57.018763,55.589218,46.879528,1.393953,45.485576,56.268743,58.440769,2.550077,55.890692,55.817490,78.987710,4.604771,74.382939,53.294711,80.719435,4.777944,75.941492,50.504660,92.989862,6.004986,86.984876,46.383498,80.251765,4.731176,75.520588,43.382426,70.223739,3.728374,66.495365,41.272216,63.735592,3.079559,60.656033,39.732111,80.219626,4.727963,75.491663,36.486156,72.764771,3.982477,68.782294,33.864613,60.064312,2.712431,57.351881,32.415331,60.646105,2.770610,57.875494,30.853813,52.680782,1.974078,50.706704,30.030582,51.879615,1.893961,49.985653,29.256761,49.618932,1.667893,47.951039,28.680145,56.314308,2.337431,53.976877,27.412484,56.254920,2.331492,53.923428,26.103477,47.817347,1.487735,40.162303,0,9.226433,3.075478
57.500000,68.113466,3.517347,64.596120,56.127403,80.925147,4.798515,76.126632,53.422441,74.143505,4.120350,70.023154,51.294747,96.230523,6.329052,89.901470,46.878989,115.222107,6.994265,108.227842,41.633311,117.138291,6.994265,110.144026,36.191968,145.958781,6.994265,138.964516,30.547664,104.652615,6.994265,97.658350,24.692827,120.752599,6.994265,113.758334,18.619604,100.233736,6.729374,93.504362,12.584742,118.016928,6.994265,111.022663,6.059888,106.867981,6.285922,100.582059,0.000000,92.176355,0.000000,92.176355,0.000000,96.024771,0.000000,96.024771,0.000000,86.773513,0.000000,86.773513,0.000000,97.832929,0.000000,97.832929,0.000000,81.496497,0.000000,81.496497,0.000000,70.977577,0.000000,70.977577,0.000000,74.710164,0.000000,74.710164,0.000000,80.967293,0.000000,80.967293,1,0.000000,0.000000
57.500000,57.642026,2.470203,55.171823,57.174547,80.396836,4.745684,75.651152,54.561474,84.555897,5.161590,79.394308,51.435028,101.348117,6.840812,94.507305,46.512743,110.769402,6.994265,103.775137,41.253403,84.891780,5.195178,79.696602,37.596977,105.619089,6.994265,98.624824,32.005079,74.761227,4.182123,70.579104,29.016746,95.806390,6.286639,89.519751,23.812432,103.422076,6.994265,96.427811,17.706370,105.949596,6.994265,98.955331,11.372553,133.271604,6.994265,126.277340,4.802485,107.733588,4.981617,102.751970,0.000000,104.493452,0.000000,104.493452,0.000000,111.808380,0.000000,111.808380,0.000000,107.789864,0.000000,107.789864,0.000000,114.389637,0.000000,114.389637,0.000000,126.336961,0.000000,126.336961,0.000000,138.432348,0.000000,138.432348,0.000000,156.380233,0.000000,156.380233,1,0.000000,0.000000
57.500000,68.972297,3.603230,65.369068,56.041520,53.243155,2.030315,51.212839,56.101553,61.485870,2.854587,58.631283,55.339554,62.157411,2.921741,59.235670,54.481979,69.262196,3.632220,65.629976,52.881937,73.260136,4.032014,69.228123,50.822420,84.163610,5.122361,79.041249,47.595735,96.596447,6.365645,90.230802,43.005411,106.606831,6.994265,99.612566,37.615248,133.302117,6.994265,126.307852,32.024032,142.150376,6.994265,135.156111,26.224263,151.123369,6.994265,144.129104,20.208164,163.015766,6.994265,156.021501,13.967663,110.067645,6.994265,103.073380,7.494392,90.160731,5.722073,84.438658,2.051860,89.138887,2.128394,87.010493,0.000000,93.112827,0.000000,93.112827,0.000000,86.608380,0.000000,86.608380,0.000000,82.298813,0.000000,82.298813,0.000000,97.432230,0.000000,97.432230,1,0.000000,0.000000
57.500000,75.547498,4.260750,71.286748,55.384000,76.333480,4.339348,71.994132,53.110475,94.955969,6.201597,88.754372,48.889899,91.266266,5.832627,85.433640,44.880866,96.267257,6.332726,89.934532,40.222196,85.383290,5.244329,80.138961,36.478155,80.236086,4.729609,75.506478,33.109182,63.226000,3.028600,60.197400,31.315554,75.239003,4.229900,71.009103,28.253724,78.266435,4.532644,73.733792,24.774945,79.256199,4.631620,74.624579,21.067430,79.259325,4.631932,74.627392,17.221313,69.774731,3.683473,66.091258,14.180195,99.732089,6.679209,93.052881,8.029907,70.932065,3.799206,67.132858,4.530216,71.156976,3.821698,67.335278,0.877495,52.219461,0.910226,51.309235,0.000000,53.474234,0.000000,53.474234,0.000000,61.200959,0.000000,61.200959,0.000000,61.121160,0.000000,61.121160,1,0.000000,0.000000
57.500000,78.671592,4.573159,74.098433,55.071591,91.877611,5.893761,85.983850,51.232000,94.228490,6.128849,88.099641,47.014105,88.855319,5.591532,83.263787,43.176199,66.963366,3.402337,63.561029,41.384334,79.069508,4.612951,74.456558,38.315019,83.503510,5.056351,78.447159,34.687818,73.889146,4.094915,69.794232,31.886759,86.396911,5.345691,81.051220,27.730444,97.410228,6.447023,90.963205,22.317767,76.567080,4.362708,72.204372,18.787512,59.776220,2.683622,57.092598,16.804664,39.884231,0.694423,39.189808,16.737055,32.411488,0.000000,32.411488,17.361347,38.240419,0.530042,37.710377,17.478883,35.060108,0.212011,34.848097,17.918835,24.015982,0.000000,24.015982,18.587208,24.149713,0.000000,24.149713,19.280510,21.603415,0.000000,21.603415,19.999673,25.735161,0.000000,20.735242,0,7.479989,2.493330
57.500000,79.104308,4.616431,74.487877,55.028319,93.419383,6.047938,87.371445,51.032937,92.442451,5.950245,86.492206,46.986221,95.793152,6.285315,89.507837,42.453491,86.851634,5.391163,81.460470,38.645843,86.530485,5.359049,81.171437,34.728285,98.110790,6.517079,91.593711,29.506571,90.381646,5.744165,84.637482,24.863001,86.275138,5.333514,80.941624,20.456877,105.668382,6.994265,98.674117,14.225654,103.628944,6.994265,96.634679,7.762006,95.925102,6.298510,89.626591,1.753019,82.841641,1.818406,81.023235,0.000000,91.874560,0.000000,91.874560,0.000000,89.944324,0.000000,89.944324,0.000000,67.306480,0.000000,67.306480,0.000000,59.153967,0.000000,59.153967,0.000000,55.976293,0.000000,55.976293,0.000000,51.857053,0.000000,51.857053,0.000000,45.713580,0.000000,45.713580,1,0.000000,0.000000
57.500000,85.508417,5.256842,80.251575,54.387908,83.095304,5.015530,78.079774,51.401047,91.059055,5.811905,85.247149,47.506400,96.747875,6.380787,90.367087,42.897602,73.707836,4.076784,69.631053,40.420899,75.021926,4.208193,70.813734,37.720405,85.259100,5.231910,80.027190,33.895467,77.837403,4.489740,73.347663,30.670027,77.715701,4.477570,73.238131,27.336449,71.373473,3.843347,67.530125,24.512751,70.956724,3.801672,67.155052,21.625405,71.750204,3.881020,67.869184,18.551012,81.784750,4.884475,76.900275,14.358490,74.925985,4.198599,70.727387,10.695463,79.363127,4.642313,74.720814,6.452091,72.190268,3.925027,68.265242,2.767727,65.831587,2.870963,62.960624,0.000000,59.788549,0.000000,59.788549,0.000000,57.674702,0.000000,57.674702,0.000000,49.986527,0.000000,49.986527,1,0.000000,0.000000
57.500000,65.554025,3.261402,62.292622,56.383348,67.631645,3.469164,64.162480,55.017282,79.383715,4.644372,74.739344,52.425055,80.839809,4.789981,76.049829,49.590529,95.366985,6.242699,89.124287,45.197557,83.154810,5.021481,78.133329,41.861945,105.634814,6.994265,98.640549,36.429130,92.051879,5.911188,86.140691,31.876749,104.290549,6.994265,97.296285,26.071487,121.879946,6.994265,114.885681,20.049688,103.429854,6.994265,96.435590,13.803277,145.791508,6.994265,138.797243,7.323874,138.028290,6.994265,131.034025,0.602790,104.480894,0.625274,103.855620,0.000000,94.266975,0.000000,94.266975,0.000000,78.095104,0.000000,78.095104,0.000000,77.149079,0.000000,77.149079,0.000000,81.673602,0.000000,81.673602,0.000000,73.843322,0.000000,73.843322,0.000000,91.037448,0.000000,91.037448,1,0.000000,0.000000
57.500000,84.452031,5.151203,79.300828,54.493547,86.974004,5.403400,81.570603,51.122756,111.450455,6.994265,104.456190,46.035370,129.956105,6.994265,122.961840,40.758224,118.209466,6.994265,111.215201,35.284241,78.633237,4.569324,74.063913,32.031019,69.239307,3.629931,65.609376,29.595846,65.605337,3.266534,62.338803,27.433237,54.080713,2.114071,51.966642,26.342426,66.422112,3.348211,63.073901,23.976787,73.264636,4.032464,69.232173,20.838657,94.181945,6.124195,88.057751,15.491745,83.953217,5.101322,78.851896,10.968265,66.701111,3.376111,63.325000,8.001270,80.349232,4.740923,75.608309,3.558794,84.547570,3.691537,80.856032,0.000000,83.639675,0.000000,83.639675,0.000000,81.874859,0.000000,81.874859,0.000000,89.147898,0.000000,89.147898,0.000000,76.355333,0.000000,76.355333,1,0.000000,0.000000
57.500000,57.155735,2.421573,54.734161,57.223177,67.938129,3.499813,64.438317,55.857788,64.535680,3.159568,61.376112,54.781716,70.804898,3.786490,67.018408,53.038584,85.223371,5.228337,79.995034,49.788586,93.017337,6.007734,87.009604,45.637966,96.039081,6.309908,89.729173,41.030354,93.381146,6.044115,87.337032,36.516672,103.605972,6.994265,96.611707,30.884479,91.784727,5.884473,85.900254,26.151997,85.545625,5.260563,80.285063,21.866904,87.935396,5.499540,82.435856,17.183000,70.081670,3.714167,66.367503,14.109759,67.421922,3.448192,63.973730,11.187861,50.979990,1.803999,49.175991,9.801169,38.440153,0.550015,37.890138,9.616738,43.960438,1.102044,42.858394,8.873398,44.013162,1.107316,42.905846,8.097060,46.375284,1.343528,45.031756,7.055551,49.050747,1.611075,46.064070,0,2.057932,0.685977
57.500000,71.508408,3.856841,67.651567,55.787909,68.546953,3.560695,64.986258,54.308103,65.025577,3.208558,61.817019,53.125237,93.959923,6.101992,87.857931,49.004816,100.502630,6.756263,93.746367,44.076433,105.531559,6.994265,98.537294,38.726219,123.895579,6.994265,116.901314,33.176442,154.209284,6.994265,147.215019,27.419659,131.065984,6.994265,124.071719,21.448147,125.289208,6.994265,118.294943,15.253898,113.792690,6.994265,106.798425,8.828604,118.499982,6.994265,111.505717,2.163646,102.634341,2.244350,100.389991,0.000000,101.257085,0.000000,101.257085,0.000000,89.773760,0.000000,89.773760,0.000000,93.904934,0.000000,93.904934,0.000000,81.857576,0.000000,81.857576,0.000000,89.092893,0.000000,89.092893,0.000000,89.943114,0.000000,89.943114,0.000000,82.994879,0.000000,82.994879,1,0.000000,0.000000
57.500000,70.287723,3.734772,66.552951,55.909978,81.259113,4.831911,76.427202,53.163509,76.678122,4.373812,72.304310,50.772695,84.937083,5.199708,79.737375,47.466809,81.391811,4.845181,76.546630,44.392139,85.569601,5.262960,80.306641,40.785006,85.869342,5.292934,80.576407,37.013353,95.785505,6.284551,89.500955,32.109400,103.303589,6.994265,96.309324,26.312816,77.548754,4.460875,73.087879,22.833409,144.842416,6.994265,137.848151,16.690830,142.801762,6.994265,135.807497,10.319133,183.901948,6.994265,176.907683,3.709772,187.780368,3.848146,183.932222,0.000000,155.995519,0.000000,155.995519,0.000000,156.256278,0.000000,156.256278,0.000000,176.507435,0.000000,176.507435,0.000000,124.171968,0.000000,124.171968,0.000000,149.291602,0.000000,149.291602,0.000000,149.702829,0.000000,149.702829,1,0.000000,0.000000
