Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
22.700000,47.707560,1.476756,46.230804,22.069954,52.788313,1.984831,50.803481,20.908332,64.488066,2.761214,61.726852,18.926999,55.059150,2.211915,52.847235,17.421061,69.846502,2.761214,67.085287,15.309652,89.455544,2.761214,86.694329,13.119488,98.556394,2.761214,95.795180,10.847631,112.905939,2.761214,110.144725,8.491033,111.481256,2.761214,108.720042,6.046535,98.494272,2.761214,95.733058,3.510856,81.139643,2.761214,78.378429,0.880597,74.178566,0.913443,73.265123,0.000000,67.276724,0.000000,67.276724,0.000000,65.543498,0.000000,65.543498,0.000000,80.147905,0.000000,80.147905,0.000000,79.799288,0.000000,79.799288,0.000000,84.145912,0.000000,84.145912,0.000000,70.784145,0.000000,70.784145,0.000000,73.625630,0.000000,73.625630,0.000000,80.940828,0.000000,80.940828,1,0.000000,0.000000
22.700000,51.473926,1.853393,49.620534,21.693317,45.392026,1.245203,44.146823,21.257276,35.647641,0.270764,35.376877,21.779408,44.438919,1.149892,43.289027,21.441888,60.063010,2.712301,57.350709,19.529369,61.379830,2.761214,58.618616,17.496601,70.710380,2.761214,67.949166,15.388010,61.024209,2.761214,58.262995,13.200768,53.398802,2.045880,51.352922,11.647277,48.465154,1.552515,46.912638,10.529205,60.999770,2.761214,58.238556,8.160730,55.331027,2.239103,53.091925,6.226022,45.673477,1.273348,44.400129,5.184905,46.115878,1.317588,44.798290,4.060715,40.058970,0.711897,39.347073,3.500282,39.449755,0.650975,38.798779,2.979867,37.730710,0.479071,37.251639,2.611945,42.821938,0.988194,41.833744,1.721177,42.776778,0.983678,41.793101,0.801699,36.360768,0.342077,35.900710,0,0.176502,0.058834
22.700000,51.794131,1.885413,49.908718,21.661297,61.536255,2.761214,58.775041,19.708049,56.379429,2.343943,54.035486,18.099216,73.174609,2.761214,70.413395,16.013103,87.615991,2.761214,84.854777,13.849178,89.073076,2.761214,86.311862,11.604538,110.988452,2.761214,108.227238,9.276173,79.578848,2.761214,76.817634,6.860960,91.821430,2.761214,89.060216,4.355660,76.218690,2.761214,73.457476,1.756912,89.741200,1.822445,87.918755,0.000000,81.263434,0.000000,81.263434,0.000000,70.091781,0.000000,70.091781,0.000000,73.018153,0.000000,73.018153,0.000000,65.983408,0.000000,65.983408,0.000000,74.393094,0.000000,74.393094,0.000000,61.970715,0.000000,61.970715,0.000000,53.972028,0.000000,53.972028,0.000000,56.810323,0.000000,56.810323,0.000000,61.568303,0.000000,61.568303,1,0.000000,0.000000
22.700000,43.831547,1.089155,42.742392,22.457555,61.134522,2.761214,58.373308,20.534008,64.297112,2.761214,61.535898,18.538712,77.066077,2.761214,74.304863,16.468992,84.230112,2.761214,81.468898,14.322071,64.552521,2.761214,61.791307,12.095071,80.313765,2.761214,77.552551,9.785003,56.849151,2.390915,54.458236,7.759068,72.852094,2.761214,70.090880,5.287267,78.643135,2.761214,75.881921,2.723268,80.565085,2.761214,77.803871,0.063632,101.341002,0.066005,101.274996,0.000000,81.921650,0.000000,81.921650,0.000000,79.457820,0.000000,79.457820,0.000000,85.020160,0.000000,85.020160,0.000000,81.964442,0.000000,81.964442,0.000000,86.982973,0.000000,86.982973,0.000000,96.067832,0.000000,96.067832,0.000000,105.265280,0.000000,105.265280,0.000000,118.913024,0.000000,118.913024,1,0.000000,0.000000
22.700000,52.447194,1.950719,50.496475,21.595991,40.486604,0.754660,39.731943,21.646861,46.754443,1.381444,45.372999,21.072844,47.265089,1.432509,45.832580,20.426352,52.667635,1.972764,50.694872,19.215492,55.707708,2.276771,53.430937,17.655459,63.998814,2.761214,61.237600,15.552793,73.452861,2.761214,70.691647,13.371698,81.064853,2.761214,78.303639,11.109249,101.364204,2.761214,98.602990,8.762410,108.092504,2.761214,105.331290,6.328033,114.915654,2.761214,112.154440,3.802855,123.958746,2.761214,121.197532,1.183487,83.696489,1.227631,82.468858,0.000000,68.559082,0.000000,68.559082,0.000000,67.782061,0.000000,67.782061,0.000000,70.803883,0.000000,70.803883,0.000000,65.857840,0.000000,65.857840,0.000000,62.580804,0.000000,62.580804,0.000000,74.088399,0.000000,74.088399,1,0.000000,0.000000
22.700000,57.447039,2.450704,54.996335,21.096006,58.044708,2.510471,55.534237,19.372416,72.205426,2.761214,69.444212,17.333793,69.399741,2.761214,66.638527,15.219130,73.202542,2.761214,70.441328,13.025589,64.926270,2.761214,62.165056,10.750229,61.012287,2.761214,58.251073,8.389999,48.077655,1.513765,46.563889,7.189180,57.212457,2.427246,54.785211,5.030091,59.514545,2.657455,56.857091,2.560259,60.267171,2.655757,57.611415,0.000000,60.269548,0.000000,60.269548,0.000000,53.057372,0.000000,53.057372,0.000000,75.837234,0.000000,75.837234,0.000000,53.937420,0.000000,53.937420,0.000000,54.108444,0.000000,54.108444,0.000000,39.708177,0.000000,39.708177,0.000000,40.662318,0.000000,40.662318,0.000000,46.537794,0.000000,46.537794,0.000000,46.477114,0.000000,46.477114,1,0.000000,0.000000
22.700000,59.822630,2.688263,57.134367,20.858447,69.864614,2.761214,67.103400,18.875253,71.652244,2.761214,68.891030,16.818086,67.566434,2.761214,64.805220,14.684186,50.919583,1.797958,49.121625,13.433948,60.125210,2.718521,57.406689,11.216513,63.496867,2.761214,60.735653,8.873675,56.186013,2.324601,53.861412,6.880062,65.697037,2.761214,62.935823,4.375474,74.071668,2.761214,71.310454,1.777465,58.222339,1.843764,56.378575,0.000000,45.454409,0.000000,45.454409,0.000000,30.328351,0.000000,30.328351,0.000000,24.646005,0.000000,24.646005,0.000000,29.078380,0.000000,29.078380,0.000000,26.660041,0.000000,26.660041,0.000000,18.261982,0.000000,18.261982,0.000000,18.363673,0.000000,18.363673,0.000000,16.427443,0.000000,16.427443,0.000000,19.569262,0.000000,19.569262,1,0.000000,0.000000
22.700000,60.151672,2.721167,57.430505,20.825543,71.036992,2.761214,68.275777,18.841121,70.294124,2.761214,67.532909,16.782681,72.842028,2.761214,70.080814,14.647461,66.042812,2.761214,63.281598,12.432597,65.798608,2.761214,63.037394,10.135119,74.604382,2.761214,71.843168,7.751945,68.727068,2.761214,65.965853,5.279878,65.604439,2.761214,62.843225,2.715603,80.351247,2.761214,77.590033,0.055681,78.800439,0.057758,78.742681,0.000000,72.942364,0.000000,72.942364,0.000000,62.993575,0.000000,62.993575,0.000000,69.862294,0.000000,69.862294,0.000000,68.394524,0.000000,68.394524,0.000000,51.180491,0.000000,51.180491,0.000000,44.981242,0.000000,44.981242,0.000000,42.564908,0.000000,42.564908,0.000000,39.432599,0.000000,39.432599,0.000000,34.761043,0.000000,34.761043,1,0.000000,0.000000
22.700000,65.021417,2.761214,62.260203,20.785496,63.186463,2.761214,60.425249,18.799581,69.242176,2.761214,66.480961,16.739591,73.568009,2.761214,70.806794,14.602764,56.048143,2.310814,53.737329,12.836632,57.047390,2.410739,54.636651,10.904700,64.831835,2.761214,62.070621,8.550231,59.188305,2.624831,56.563475,6.244324,59.095761,2.615576,56.480185,3.861661,54.273071,2.133307,52.139764,1.872394,53.956171,1.942234,52.013937,0.000000,54.559541,0.000000,54.559541,0.000000,62.189905,0.000000,62.189905,0.000000,56.974435,0.000000,56.974435,0.000000,60.348480,0.000000,60.348480,0.000000,54.894170,0.000000,54.894170,0.000000,50.058968,0.000000,50.058968,0.000000,45.463784,0.000000,45.463784,0.000000,43.856395,0.000000,43.856395,0.000000,38.010233,0.000000,38.010233,1,0.000000,0.000000
22.700000,49.847907,1.690791,48.157116,21.855919,51.427749,1.848775,49.578974,20.822370,60.364136,2.742414,57.621722,18.856631,61.471364,2.761214,58.710150,16.798769,72.517967,2.761214,69.756753,14.664149,63.231712,2.761214,60.470498,12.449908,80.325722,2.761214,77.564508,10.153075,69.997129,2.761214,67.235915,7.770571,79.303530,2.761214,76.542316,5.299199,92.678676,2.761214,89.917462,2.735645,78.649050,2.761214,75.887836,0.076470,110.861256,0.079323,110.781933,0.000000,104.958031,0.000000,104.958031,0.000000,79.448270,0.000000,79.448270,0.000000,71.681509,0.000000,71.681509,0.000000,59.384264,0.000000,59.384264,0.000000,58.664897,0.000000,58.664897,0.000000,62.105388,0.000000,62.105388,0.000000,56.151167,0.000000,56.151167,0.000000,69.225745,0.000000,69.225745,1,0.000000,0.000000
