Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
22.700000,47.707560,2.761214,44.946346,20.785496,52.788313,2.761214,50.027098,18.799581,64.488066,2.761214,61.726852,16.739591,55.059150,2.761214,52.297936,14.602764,69.846502,2.761214,67.085287,12.386232,89.455544,2.761214,86.694329,10.087025,98.556394,2.761214,95.795180,7.702057,112.905939,2.761214,110.144725,5.228129,111.481256,2.761214,108.720042,2.661924,98.494272,2.761214,95.733058,0,81.139643,0,81.139643,0,74.178566,0,74.178566,0,67.276724,0,67.276724,0,65.543498,0,65.543498,0,80.147905,0,80.147905,0,79.799288,0,79.799288,0,84.145912,0,84.145912,0,70.784145,0,70.784145,0,73.625630,0,73.625630,0,80.940828,0,80.940828,1,0.000000,0.000000
22.700000,51.473926,2.761214,48.712712,20.785496,45.392026,2.761214,42.630811,18.799581,35.647641,2.761214,32.886427,16.739591,44.438919,2.761214,41.677705,14.602764,60.063010,2.761214,57.301796,12.386232,61.379830,2.761214,58.618616,10.087025,70.710380,2.761214,67.949166,7.702057,61.024209,2.761214,58.262995,5.228129,53.398802,2.761214,50.637588,2.661924,48.465154,2.761214,45.703939,0,60.999770,0,60.999770,0,55.331027,0,55.331027,0,45.673477,0,45.673477,0,46.115878,0,46.115878,0,40.058970,0,40.058970,0,39.449755,0,39.449755,0,37.730710,0,37.730710,0,42.821938,0,42.821938,0,42.776778,0,42.776778,0,36.360768,0,36.360768,1,0.000000,0.000000
22.700000,51.794131,2.761214,49.032917,20.785496,61.536255,2.761214,58.775041,18.799581,56.379429,2.761214,53.618215,16.739591,73.174609,2.761214,70.413395,14.602764,87.615991,2.761214,84.854777,12.386232,89.073076,2.761214,86.311862,10.087025,110.988452,2.761214,108.227238,7.702057,79.578848,2.761214,76.817634,5.228129,91.821430,2.761214,89.060216,2.661924,76.218690,2.761214,73.457476,0,89.741200,0,89.741200,0,81.263434,0,81.263434,0,70.091781,0,70.091781,0,73.018153,0,73.018153,0,65.983408,0,65.983408,0,74.393094,0,74.393094,0,61.970715,0,61.970715,0,53.972028,0,53.972028,0,56.810323,0,56.810323,0,61.568303,0,61.568303,1,0.000000,0.000000
22.700000,43.831547,2.761214,41.070333,20.785496,61.134522,2.761214,58.373308,18.799581,64.297112,2.761214,61.535898,16.739591,77.066077,2.761214,74.304863,14.602764,84.230112,2.761214,81.468898,12.386232,64.552521,2.761214,61.791307,10.087025,80.313765,2.761214,77.552551,7.702057,56.849151,2.761214,54.087937,5.228129,72.852094,2.761214,70.090880,2.661924,78.643135,2.761214,75.881921,0,80.565085,0,80.565085,0,101.341002,0,101.341002,0,81.921650,0,81.921650,0,79.457820,0,79.457820,0,85.020160,0,85.020160,0,81.964442,0,81.964442,0,86.982973,0,86.982973,0,96.067832,0,96.067832,0,105.265280,0,105.265280,0,118.913024,0,118.913024,1,0.000000,0.000000
22.700000,52.447194,2.761214,49.685980,20.785496,40.486604,2.761214,37.725390,18.799581,46.754443,2.761214,43.993229,16.739591,47.265089,2.761214,44.503875,14.602764,52.667635,2.761214,49.906421,12.386232,55.707708,2.761214,52.946493,10.087025,63.998814,2.761214,61.237600,7.702057,73.452861,2.761214,70.691647,5.228129,81.064853,2.761214,78.303639,2.661924,101.364204,2.761214,98.602990,0,108.092504,0,108.092504,0,114.915654,0,114.915654,0,123.958746,0,123.958746,0,83.696489,0,83.696489,0,68.559082,0,68.559082,0,67.782061,0,67.782061,0,70.803883,0,70.803883,0,65.857840,0,65.857840,0,62.580804,0,62.580804,0,74.088399,0,74.088399,1,0.000000,0.000000
22.700000,57.447039,2.761214,54.685825,20.785496,58.044708,2.761214,55.283494,18.799581,72.205426,2.761214,69.444212,16.739591,69.399741,2.761214,66.638527,14.602764,73.202542,2.761214,70.441328,12.386232,64.926270,2.761214,62.165056,10.087025,61.012287,2.761214,58.251073,7.702057,48.077655,2.761214,45.316441,5.228129,57.212457,2.761214,54.451243,2.661924,59.514545,2.761214,56.753331,0,60.267171,0,60.267171,0,60.269548,0,60.269548,0,53.057372,0,53.057372,0,75.837234,0,75.837234,0,53.937420,0,53.937420,0,54.108444,0,54.108444,0,39.708177,0,39.708177,0,40.662318,0,40.662318,0,46.537794,0,46.537794,0,46.477114,0,46.477114,1,0.000000,0.000000
22.700000,59.822630,2.761214,57.061416,20.785496,69.864614,2.761214,67.103400,18.799581,71.652244,2.761214,68.891030,16.739591,67.566434,2.761214,64.805220,14.602764,50.919583,2.761214,48.158369,12.386232,60.125210,2.761214,57.363996,10.087025,63.496867,2.761214,60.735653,7.702057,56.186013,2.761214,53.424799,5.228129,65.697037,2.761214,62.935823,2.661924,74.071668,2.761214,71.310454,0,58.222339,0,58.222339,0,45.454409,0,45.454409,0,30.328351,0,30.328351,0,24.646005,0,24.646005,0,29.078380,0,29.078380,0,26.660041,0,26.660041,0,18.261982,0,18.261982,0,18.363673,0,18.363673,0,16.427443,0,16.427443,0,19.569262,0,19.569262,1,0.000000,0.000000
22.700000,60.151672,2.761214,57.390458,20.785496,71.036992,2.761214,68.275777,18.799581,70.294124,2.761214,67.532909,16.739591,72.842028,2.761214,70.080814,14.602764,66.042812,2.761214,63.281598,12.386232,65.798608,2.761214,63.037394,10.087025,74.604382,2.761214,71.843168,7.702057,68.727068,2.761214,65.965853,5.228129,65.604439,2.761214,62.843225,2.661924,80.351247,2.761214,77.590033,0,78.800439,0,78.800439,0,72.942364,0,72.942364,0,62.993575,0,62.993575,0,69.862294,0,69.862294,0,68.394524,0,68.394524,0,51.180491,0,51.180491,0,44.981242,0,44.981242,0,42.564908,0,42.564908,0,39.432599,0,39.432599,0,34.761043,0,34.761043,1,0.000000,0.000000
22.700000,65.021417,2.761214,62.260203,20.785496,63.186463,2.761214,60.425249,18.799581,69.242176,2.761214,66.480961,16.739591,73.568009,2.761214,70.806794,14.602764,56.048143,2.761214,53.286929,12.386232,57.047390,2.761214,54.286176,10.087025,64.831835,2.761214,62.070621,7.702057,59.188305,2.761214,56.427091,5.228129,59.095761,2.761214,56.334547,2.661924,54.273071,2.761214,51.511856,0,53.956171,0,53.956171,0,54.559541,0,54.559541,0,62.189905,0,62.189905,0,56.974435,0,56.974435,0,60.348480,0,60.348480,0,54.894170,0,54.894170,0,50.058968,0,50.058968,0,45.463784,0,45.463784,0,43.856395,0,43.856395,0,38.010233,0,38.010233,1,0.000000,0.000000
22.700000,49.847907,2.761214,47.086693,20.785496,51.427749,2.761214,48.666535,18.799581,60.364136,2.761214,57.602922,16.739591,61.471364,2.761214,58.710150,14.602764,72.517967,2.761214,69.756753,12.386232,63.231712,2.761214,60.470498,10.087025,80.325722,2.761214,77.564508,7.702057,69.997129,2.761214,67.235915,5.228129,79.303530,2.761214,76.542316,2.661924,92.678676,2.761214,89.917462,0,78.649050,0,78.649050,0,110.861256,0,110.861256,0,104.958031,0,104.958031,0,79.448270,0,79.448270,0,71.681509,0,71.681509,0,59.384264,0,59.384264,0,58.664897,0,58.664897,0,62.105388,0,62.105388,0,56.151167,0,56.151167,0,69.225745,0,69.225745,1,0.000000,0.000000
