Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
27.000000,47.707560,1.476756,46.230804,26.530344,52.788313,1.984831,50.803481,25.535095,64.488066,3.154807,61.333259,23.332747,55.059150,2.211915,52.847235,21.991143,69.846502,3.284264,66.562238,19.527150,89.455544,3.284264,86.171280,16.971249,98.556394,3.284264,95.272131,14.320013,112.905939,3.284264,109.621676,11.569886,111.481256,3.284264,108.196992,8.717179,98.494272,3.284264,95.210009,5.758066,81.139643,3.284264,77.855379,2.688579,74.178566,2.788863,71.389703,0.000000,67.276724,0.000000,67.276724,0.000000,65.543498,0.000000,65.543498,0.000000,80.147905,0.000000,80.147905,0.000000,79.799288,0.000000,79.799288,0.000000,84.145912,0.000000,84.145912,0.000000,70.784145,0.000000,70.784145,0.000000,73.625630,0.000000,73.625630,0.000000,80.940828,0.000000,80.940828,1,0.000000,0.000000
27.000000,51.473926,1.853393,49.620534,26.153707,45.392026,1.245203,44.146823,25.884038,35.647641,0.270764,35.376877,26.578749,44.438919,1.149892,43.289027,26.420244,60.063010,2.712301,57.350709,24.693418,61.379830,2.843983,58.535847,22.770500,70.710380,3.284264,67.426116,20.335576,61.024209,2.808421,58.215788,18.285672,53.398802,2.045880,51.352922,16.921847,48.465154,1.552515,46.912638,16.000517,60.999770,2.805977,58.193793,13.791359,55.331027,2.239103,53.091925,12.066674,45.673477,1.273348,44.400129,11.243413,46.115878,1.317588,44.798290,10.345205,40.058970,0.711897,39.347073,10.019184,39.449755,0.650975,38.798779,9.741924,37.730710,0.479071,37.251639,9.626227,42.821938,0.988194,41.833744,8.997091,42.776778,0.983678,41.793101,8.349005,36.360768,0.342077,34.013884,0,2.999236,0.999745
27.000000,51.794131,1.885413,49.908718,26.121687,61.536255,2.859625,58.676629,24.236400,56.379429,2.343943,54.035486,22.796475,73.174609,3.284264,69.890346,20.362520,87.615991,3.284264,84.331728,17.837779,89.073076,3.284264,85.788813,15.218864,110.988452,3.284264,107.704188,12.502264,79.578848,3.284264,76.294585,9.684335,91.821430,3.284264,88.537167,6.761298,76.218690,3.284264,72.934427,3.729230,89.741200,3.284264,86.456936,0.584067,81.263434,0.605853,80.657581,0.000000,70.091781,0.000000,70.091781,0.000000,73.018153,0.000000,73.018153,0.000000,65.983408,0.000000,65.983408,0.000000,74.393094,0.000000,74.393094,0.000000,61.970715,0.000000,61.970715,0.000000,53.972028,0.000000,53.972028,0.000000,56.810323,0.000000,56.810323,0.000000,61.568303,0.000000,61.568303,1,0.000000,0.000000
27.000000,43.831547,1.089155,42.742392,26.917945,61.134522,2.819452,58.315070,25.102532,64.297112,3.135711,61.161401,22.903146,77.066077,3.284264,73.781813,20.473169,84.230112,3.284264,80.945848,17.952555,64.552521,3.161252,61.391269,15.460933,80.313765,3.284264,77.029501,12.753363,56.849151,2.390915,54.458236,10.838148,72.852094,3.284264,69.567831,7.958147,78.643135,3.284264,75.358871,4.970723,80.565085,3.284264,77.280822,1.871867,101.341002,1.941688,99.399314,0.000000,81.921650,0.000000,81.921650,0.000000,79.457820,0.000000,79.457820,0.000000,85.020160,0.000000,85.020160,0.000000,81.964442,0.000000,81.964442,0.000000,86.982973,0.000000,86.982973,0.000000,96.067832,0.000000,96.067832,0.000000,105.265280,0.000000,105.265280,0.000000,118.913024,0.000000,118.913024,1,0.000000,0.000000
27.000000,52.447194,1.950719,50.496475,26.056381,40.486604,0.754660,39.731943,26.273623,46.754443,1.381444,45.372999,25.872185,47.265089,1.432509,45.832580,25.404709,52.667635,1.972764,50.694872,24.379541,55.707708,2.276771,53.430937,23.012127,63.998814,3.105881,60.892932,20.764598,73.452861,3.284264,70.168598,18.254854,81.064853,3.284264,77.780589,15.651496,101.364204,3.284264,98.079940,12.951034,108.092504,3.284264,104.808241,10.149844,114.915654,3.284264,111.631390,7.244169,123.958746,3.284264,120.674483,4.230113,83.696489,3.284264,80.412226,1.103633,68.559082,1.144799,67.414283,0.000000,67.782061,0.000000,67.782061,0.000000,70.803883,0.000000,70.803883,0.000000,65.857840,0.000000,65.857840,0.000000,62.580804,0.000000,62.580804,0.000000,74.088399,0.000000,74.088399,1,0.000000,0.000000
27.000000,57.447039,2.450704,54.996335,25.556396,58.044708,2.510471,55.534237,23.999179,72.205426,3.284264,68.921163,21.610085,69.399741,3.284264,66.115478,19.131877,73.202542,3.284264,69.918279,16.561233,64.926270,3.198627,61.727643,13.980340,61.012287,2.807229,58.205058,11.694578,48.077655,1.513765,46.563889,10.617020,57.212457,2.427246,54.785211,8.585789,59.514545,2.657455,56.857091,6.248585,60.267171,2.732717,57.534454,3.748940,60.269548,2.732955,57.536593,1.155821,53.057372,1.198933,51.858440,0.000000,75.837234,0.000000,75.837234,0.000000,53.937420,0.000000,53.937420,0.000000,54.108444,0.000000,54.108444,0.000000,39.708177,0.000000,39.708177,0.000000,40.662318,0.000000,40.662318,0.000000,46.537794,0.000000,46.537794,0.000000,46.477114,0.000000,46.477114,1,0.000000,0.000000
27.000000,59.822630,2.688263,57.134367,25.318837,69.864614,3.284264,66.580350,22.978966,71.652244,3.284264,68.367981,20.551818,67.566434,3.284264,64.282170,18.034137,50.919583,1.797958,49.121625,16.908852,60.125210,2.718521,57.406689,14.821031,63.496867,3.055687,60.441180,12.318169,56.186013,2.324601,53.861412,10.453036,65.697037,3.275704,62.421333,7.567230,74.071668,3.284264,70.787405,4.565224,58.222339,2.528234,55.694105,2.207273,45.454409,1.251441,44.202968,1.038164,30.328351,0.000000,30.328351,1.076887,24.646005,0.000000,24.646005,1.117055,29.078380,0.000000,29.078380,1.158721,26.660041,0.000000,26.660041,1.201942,18.261982,0.000000,18.261982,1.246774,18.363673,0.000000,18.363673,1.293279,16.427443,0.000000,16.427443,1.341518,19.569262,0.000000,19.233883,0,0.501735,0.167245
27.000000,60.151672,2.721167,57.430505,25.285933,71.036992,3.284264,67.752728,22.944835,70.294124,3.284264,67.009860,20.516413,72.842028,3.284264,69.557765,17.997412,66.042812,3.284264,62.758549,15.384452,65.798608,3.284264,62.514344,12.674029,74.604382,3.284264,71.320119,9.862506,68.727068,3.284264,65.442804,6.946114,65.604439,3.266444,62.337996,3.938760,80.351247,3.284264,77.066984,0.801413,78.800439,0.831305,77.969134,0.000000,72.942364,0.000000,72.942364,0.000000,62.993575,0.000000,62.993575,0.000000,69.862294,0.000000,69.862294,0.000000,68.394524,0.000000,68.394524,0.000000,51.180491,0.000000,51.180491,0.000000,44.981242,0.000000,44.981242,0.000000,42.564908,0.000000,42.564908,0.000000,39.432599,0.000000,39.432599,0.000000,34.761043,0.000000,34.761043,1,0.000000,0.000000
27.000000,65.021417,3.208142,61.813276,24.798958,63.186463,3.024646,60.161817,22.699313,69.242176,3.284264,65.957912,20.261734,73.568009,3.284264,70.283745,17.733233,56.048143,2.310814,53.737329,16.083868,57.047390,2.410739,54.636651,14.273058,64.831835,3.189183,61.642651,11.616259,59.188305,2.624831,56.563475,9.424715,59.095761,2.615576,56.480185,7.160681,54.273071,2.133307,52.139764,5.294467,53.956171,2.101617,51.854554,3.390334,54.559541,2.161954,52.397587,1.354839,62.189905,1.405375,60.784531,0.000000,56.974435,0.000000,56.974435,0.000000,60.348480,0.000000,60.348480,0.000000,54.894170,0.000000,54.894170,0.000000,50.058968,0.000000,50.058968,0.000000,45.463784,0.000000,45.463784,0.000000,43.856395,0.000000,43.856395,0.000000,38.010233,0.000000,38.010233,1,0.000000,0.000000
27.000000,49.847907,1.690791,48.157116,26.316309,51.427749,1.848775,49.578974,25.449133,60.364136,2.742414,57.621722,23.655972,61.471364,2.853136,58.618227,21.685203,72.517967,3.284264,69.233703,19.209798,63.231712,3.029171,60.202541,16.897152,80.325722,3.284264,77.041459,14.243152,69.997129,3.284264,66.712865,11.490158,79.303530,3.284264,76.019267,8.634478,92.678676,3.284264,89.394412,5.672280,78.649050,3.284264,75.364786,2.599593,110.861256,2.696558,108.164698,0.000000,104.958031,0.000000,104.958031,0.000000,79.448270,0.000000,79.448270,0.000000,71.681509,0.000000,71.681509,0.000000,59.384264,0.000000,59.384264,0.000000,58.664897,0.000000,58.664897,0.000000,62.105388,0.000000,62.105388,0.000000,56.151167,0.000000,56.151167,0.000000,69.225745,0.000000,69.225745,1,0.000000,0.000000
