Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
25.300000,47.707560,1.476756,46.230804,24.766934,52.788313,1.984831,50.803481,23.705909,64.488066,3.077477,61.410590,21.512663,55.059150,2.211915,52.847235,20.103171,69.846502,3.077477,66.769025,17.775542,89.455544,3.077477,86.378067,15.361093,98.556394,3.077477,95.478918,12.856586,112.905939,3.077477,109.828463,10.258660,111.481256,3.077477,108.403779,7.563831,98.494272,3.077477,95.416796,4.768486,81.139643,3.077477,78.062166,1.868874,74.178566,1.938583,72.239984,0.000000,67.276724,0.000000,67.276724,0.000000,65.543498,0.000000,65.543498,0.000000,80.147905,0.000000,80.147905,0.000000,79.799288,0.000000,79.799288,0.000000,84.145912,0.000000,84.145912,0.000000,70.784145,0.000000,70.784145,0.000000,73.625630,0.000000,73.625630,0.000000,80.940828,0.000000,80.940828,1,0.000000,0.000000
25.300000,51.473926,1.853393,49.620534,24.390297,45.392026,1.245203,44.146823,24.054853,35.647641,0.270764,35.376877,24.681335,44.438919,1.149892,43.289027,24.452057,60.063010,2.712301,57.350709,22.651817,61.379830,2.843983,58.535847,20.652747,70.710380,3.077477,67.632903,18.345618,61.024209,2.808421,58.215788,16.221489,53.398802,2.045880,51.352922,14.780670,48.465154,1.552515,46.912638,13.779474,60.999770,2.805977,58.193793,11.487471,55.331027,2.239103,53.091925,9.676851,45.673477,1.273348,44.400129,8.764450,46.115878,1.317588,44.798290,7.773776,40.058970,0.711897,39.347073,7.351841,39.449755,0.650975,38.798779,6.975089,37.730710,0.479071,37.251639,6.756189,42.821938,0.988194,41.833744,6.020001,42.776778,0.983678,41.793101,5.260869,36.360768,0.342077,34.785918,0,1.844256,0.614752
25.300000,51.794131,1.885413,49.908718,24.358277,61.536255,2.859625,58.676629,22.407215,56.379429,2.343943,54.035486,20.899061,73.174609,3.077477,70.097132,18.601120,87.615991,3.077477,84.538515,16.217465,89.073076,3.077477,85.995600,13.744900,110.988452,3.077477,107.910975,11.180108,79.578848,3.077477,76.501372,8.519650,91.821430,3.077477,88.743954,5.759956,76.218690,3.077477,73.141214,2.897326,89.741200,3.005396,86.735804,0.000000,81.263434,0.000000,81.263434,0.000000,70.091781,0.000000,70.091781,0.000000,73.018153,0.000000,73.018153,0.000000,65.983408,0.000000,65.983408,0.000000,74.393094,0.000000,74.393094,0.000000,61.970715,0.000000,61.970715,0.000000,53.972028,0.000000,53.972028,0.000000,56.810323,0.000000,56.810323,0.000000,61.568303,0.000000,61.568303,1,0.000000,0.000000
25.300000,43.831547,1.089155,42.742392,25.154535,61.134522,2.819452,58.315070,23.273347,64.297112,3.077477,61.219636,21.063967,77.066077,3.077477,73.988600,18.772176,84.230112,3.077477,81.152635,16.394902,64.552521,3.077477,61.475044,13.928955,80.313765,3.077477,77.236288,11.371028,56.849151,2.390915,54.458236,9.404252,72.852094,3.077477,69.774618,6.677555,78.643135,3.077477,75.565658,3.849151,80.565085,3.077477,77.487609,0.915248,101.341002,0.949386,100.391615,0.000000,81.921650,0.000000,81.921650,0.000000,79.457820,0.000000,79.457820,0.000000,85.020160,0.000000,85.020160,0.000000,81.964442,0.000000,81.964442,0.000000,86.982973,0.000000,86.982973,0.000000,96.067832,0.000000,96.067832,0.000000,105.265280,0.000000,105.265280,0.000000,118.913024,0.000000,118.913024,1,0.000000,0.000000
25.300000,52.447194,1.950719,50.496475,24.292971,40.486604,0.754660,39.731943,24.444438,46.754443,1.381444,45.372999,23.974771,47.265089,1.432509,45.832580,23.436521,52.667635,1.972764,50.694872,22.337940,55.707708,2.276771,53.430937,20.894374,63.998814,3.077477,60.921337,18.596258,73.452861,3.077477,70.375385,16.212422,81.064853,3.077477,77.987376,13.739669,101.364204,3.077477,98.286727,11.174682,108.092504,3.077477,105.015028,8.514021,114.915654,3.077477,111.838177,5.754117,123.958746,3.077477,120.881270,2.891269,83.696489,2.999114,80.697376,0.000000,68.559082,0.000000,68.559082,0.000000,67.782061,0.000000,67.782061,0.000000,70.803883,0.000000,70.803883,0.000000,65.857840,0.000000,65.857840,0.000000,62.580804,0.000000,62.580804,0.000000,74.088399,0.000000,74.088399,1,0.000000,0.000000
25.300000,57.447039,2.450704,54.996335,23.792986,58.044708,2.510471,55.534237,22.169994,72.205426,3.077477,69.127950,19.919458,69.399741,3.077477,66.322265,17.584977,73.202542,3.077477,70.125066,15.163420,64.926270,3.077477,61.848793,12.651539,61.012287,2.807229,58.205058,10.316213,48.077655,1.513765,46.563889,9.187242,57.212457,2.427246,54.785211,7.102681,59.514545,2.657455,56.857091,4.710156,60.267171,2.732717,57.534454,2.153128,60.269548,2.233440,58.036109,0.000000,53.057372,0.000000,53.057372,0.000000,75.837234,0.000000,75.837234,0.000000,53.937420,0.000000,53.937420,0.000000,54.108444,0.000000,54.108444,0.000000,39.708177,0.000000,39.708177,0.000000,40.662318,0.000000,40.662318,0.000000,46.537794,0.000000,46.537794,0.000000,46.477114,0.000000,46.477114,1,0.000000,0.000000
25.300000,59.822630,2.688263,57.134367,23.555427,69.864614,3.077477,66.787137,21.356568,71.652244,3.077477,68.574768,19.075691,67.566434,3.077477,64.488957,16.709738,50.919583,1.797958,49.121625,15.535053,60.125210,2.718521,57.406689,13.395989,63.496867,3.055687,60.441180,10.839973,56.186013,2.324601,53.861412,8.919703,65.697037,3.077477,62.619560,6.174931,74.071668,3.077477,70.994192,3.327780,58.222339,2.528234,55.694105,0.923672,45.454409,0.958125,44.496285,0.000000,30.328351,0.000000,30.328351,0.000000,24.646005,0.000000,24.646005,0.000000,29.078380,0.000000,29.078380,0.000000,26.660041,0.000000,26.660041,0.000000,18.261982,0.000000,18.261982,0.000000,18.363673,0.000000,18.363673,0.000000,16.427443,0.000000,16.427443,0.000000,19.569262,0.000000,19.569262,1,0.000000,0.000000
25.300000,60.151672,2.721167,57.430505,23.522523,71.036992,3.077477,67.959515,21.322436,70.294124,3.077477,67.216647,19.040287,72.842028,3.077477,69.764552,16.673013,66.042812,3.077477,62.965336,14.217440,65.798608,3.077477,62.721131,11.670274,74.604382,3.077477,71.526906,9.028098,68.727068,3.077477,65.649591,6.287370,65.604439,3.077477,62.526963,3.444412,80.351247,3.077477,77.273771,0.495412,78.800439,0.513891,78.286548,0.000000,72.942364,0.000000,72.942364,0.000000,62.993575,0.000000,62.993575,0.000000,69.862294,0.000000,69.862294,0.000000,68.394524,0.000000,68.394524,0.000000,51.180491,0.000000,51.180491,0.000000,44.981242,0.000000,44.981242,0.000000,42.564908,0.000000,42.564908,0.000000,39.432599,0.000000,39.432599,0.000000,34.761043,0.000000,34.761043,1,0.000000,0.000000
25.300000,65.021417,3.077477,61.943941,23.166213,63.186463,3.024646,60.161817,21.005667,69.242176,3.077477,66.164699,18.711702,73.568009,3.077477,70.490532,16.332172,56.048143,2.310814,53.737329,14.630547,57.047390,2.410739,54.636651,12.765528,64.831835,3.077477,61.754358,10.164205,59.188305,2.624831,56.563475,7.918500,59.095761,2.615576,56.480185,5.598284,54.273071,2.133307,52.139764,3.673793,53.956171,2.101617,51.854554,1.709208,54.559541,1.772961,52.786579,0.000000,62.189905,0.000000,62.189905,0.000000,56.974435,0.000000,56.974435,0.000000,60.348480,0.000000,60.348480,0.000000,54.894170,0.000000,54.894170,0.000000,50.058968,0.000000,50.058968,0.000000,45.463784,0.000000,45.463784,0.000000,43.856395,0.000000,43.856395,0.000000,38.010233,0.000000,38.010233,1,0.000000,0.000000
25.300000,49.847907,1.690791,48.157116,24.552899,51.427749,1.848775,49.578974,23.619948,60.364136,2.742414,57.621722,21.758558,61.471364,2.853136,58.618227,19.717016,72.517967,3.077477,69.440490,17.374984,63.231712,3.029171,60.202541,14.993900,80.325722,3.077477,77.248246,12.475696,69.997129,3.077477,66.919652,9.863563,79.303530,3.077477,76.226054,7.153997,92.678676,3.077477,89.601199,4.343364,78.649050,3.077477,75.571573,1.427895,110.861256,1.481156,109.380100,0.000000,104.958031,0.000000,104.958031,0.000000,79.448270,0.000000,79.448270,0.000000,71.681509,0.000000,71.681509,0.000000,59.384264,0.000000,59.384264,0.000000,58.664897,0.000000,58.664897,0.000000,62.105388,0.000000,62.105388,0.000000,56.151167,0.000000,56.151167,0.000000,69.225745,0.000000,69.225745,1,0.000000,0.000000
