Q0,Y0,q0,C0,Q1,Y1,q1,C1,Q2,Y2,q2,C2,Q3,Y3,q3,C3,Q4,Y4,q4,C4,Q5,Y5,q5,C5,Q6,Y6,q6,C6,Q7,Y7,q7,C7,Q8,Y8,q8,C8,Q9,Y9,q9,C9,Q10,Y10,q10,C10,Q11,Y11,q11,C11,Q12,Y12,q12,C12,Q13,Y13,q13,C13,Q14,Y14,q14,C14,Q15,Y15,q15,C15,Q16,Y16,q16,C16,Q17,Y17,q17,C17,Q18,Y18,q18,C18,Q19,Y19,q19,C19,paidOff,forgiven,penalty
20.000000,12.847637,2.432788,10.414850,18.313212,14.215883,2.432788,11.783095,16.563507,17.366625,2.432788,14.933837,14.748538,14.827419,2.432788,12.394632,12.865871,18.809650,2.432788,16.376863,10.912980,24.090362,2.432788,21.657574,8.887247,26.541219,2.432788,24.108432,6.785953,30.405549,2.432788,27.972761,4.606281,30.021882,2.432788,27.589094,2.345308,26.524490,2.432788,24.091702,0,21.850891,0,21.850891,0,19.976275,0,19.976275,0,18.117610,0,18.117610,0,17.650852,0,17.650852,0,21.583817,0,21.583817,0,21.489934,0,21.489934,0,22.660479,0,22.660479,0,19.062158,0,19.062158,0,19.827369,0,19.827369,0,21.797351,0,21.797351,1,0.000000,0.000000
20.000000,13.861919,2.432788,11.429131,18.313212,12.224064,2.432788,9.791277,16.563507,9.599903,2.432788,7.167116,14.748538,11.967393,2.432788,9.534605,12.865871,16.174958,2.432788,13.742170,10.912980,16.529577,2.432788,14.096789,8.887247,19.042293,2.432788,16.609505,6.785953,16.433808,2.432788,14.001021,4.606281,14.380288,2.432788,11.947500,2.345308,13.051657,2.432788,10.618869,0,16.427227,0,16.427227,0,14.900636,0,14.900636,0,12.299859,0,12.299859,0,12.418998,0,12.418998,0,10.787873,0,10.787873,0,10.623812,0,10.623812,0,10.160873,0,10.160873,0,11.531940,0,11.531940,0,11.519779,0,11.519779,0,9.791948,0,9.791948,1,0.000000,0.000000
20.000000,13.948150,2.432788,11.515362,18.313212,16.571702,2.432788,14.138915,16.563507,15.182970,2.432788,12.750182,14.748538,19.705909,2.432788,17.273121,12.865871,23.594971,2.432788,21.162183,10.912980,23.987363,2.432788,21.554576,8.887247,29.889170,2.432788,27.456382,6.785953,21.430570,2.432788,18.997782,4.606281,24.727495,2.432788,22.294707,2.345308,20.525680,2.432788,18.092892,0,24.167289,0,24.167289,0,21.884228,0,21.884228,0,18.875704,0,18.875704,0,19.663776,0,19.663776,0,17.769320,0,17.769320,0,20.034047,0,20.034047,0,16.688702,0,16.688702,0,14.534657,0,14.534657,0,15.299010,0,15.299010,0,16.580333,0,16.580333,1,0.000000,0.000000
20.000000,11.803828,2.432788,9.371040,18.313212,16.463516,2.432788,14.030728,16.563507,17.315201,2.432788,14.882413,14.748538,20.753881,2.432788,18.321093,12.865871,22.683154,2.432788,20.250366,10.912980,17.383982,2.432788,14.951194,8.887247,21.628482,2.432788,19.195695,6.785953,15.309466,2.432788,12.876679,4.606281,19.619056,2.432788,17.186268,2.345308,21.178582,2.432788,18.745794,0,21.696163,0,21.696163,0,27.291114,0,27.291114,0,22.061486,0,22.061486,0,21.397977,0,21.397977,0,22.895914,0,22.895914,0,22.073010,0,22.073010,0,23.424499,0,23.424499,0,25.871050,0,25.871050,0,28.347921,0,28.347921,0,32.023256,0,32.023256,1,0.000000,0.000000
20.000000,14.124020,2.432788,11.691232,18.313212,10.903035,2.432788,8.470247,16.563507,12.590963,2.432788,10.158175,14.748538,12.728480,2.432788,10.295692,12.865871,14.183385,2.432788,11.750597,10.912980,15.002076,2.432788,12.569288,8.887247,17.234869,2.432788,14.802081,6.785953,19.780842,2.432788,17.348055,4.606281,21.830750,2.432788,19.397963,2.345308,27.297362,2.432788,24.864574,0,29.109292,0,29.109292,0,30.946765,0,30.946765,0,33.382068,0,33.382068,0,22.539450,0,22.539450,0,18.462948,0,18.462948,0,18.253697,0,18.253697,0,19.067473,0,19.067473,0,17.735504,0,17.735504,0,16.852999,0,16.852999,0,19.951992,0,19.951992,1,0.000000,0.000000
20.000000,15.470477,2.432788,13.037690,18.313212,15.631429,2.432788,13.198642,16.563507,19.444908,2.432788,17.012121,14.748538,18.689338,2.432788,16.256550,12.865871,19.713432,2.432788,17.280644,10.912980,17.484633,2.432788,15.051845,8.887247,16.430598,2.432788,13.997810,6.785953,12.947304,2.432788,10.514516,4.606281,15.407304,2.432788,12.974517,2.345308,16.027256,2.432788,13.594469,0,16.229938,0,16.229938,0,16.230578,0,16.230578,0,14.288341,0,14.288341,0,20.422953,0,20.422953,0,14.525337,0,14.525337,0,14.571394,0,14.571394,0,10.693405,0,10.693405,0,10.950355,0,10.950355,0,12.532620,0,12.532620,0,12.516278,0,12.516278,1,0.000000,0.000000
20.000000,16.110224,2.432788,13.677436,18.313212,18.814528,2.432788,16.381740,16.563507,19.295936,2.432788,16.863149,14.748538,18.195629,2.432788,15.762841,12.865871,13.712635,2.432788,11.279847,10.912980,16.191708,2.432788,13.758920,8.887247,17.099695,2.432788,14.666907,6.785953,15.130883,2.432788,12.698095,4.606281,17.692200,2.432788,15.259412,2.345308,19.947487,2.432788,17.514699,0,15.679266,0,15.679266,0,12.240864,0,12.240864,0,8.167419,0,8.167419,0,6.637165,0,6.637165,0,7.830803,0,7.830803,0,7.179544,0,7.179544,0,4.917948,0,4.917948,0,4.945334,0,4.945334,0,4.423907,0,4.423907,0,5.269999,0,5.269999,1,0.000000,0.000000
20.000000,16.198834,2.432788,13.766047,18.313212,19.130249,2.432788,16.697461,16.563507,18.930195,2.432788,16.497407,14.748538,19.616345,2.432788,17.183557,12.865871,17.785317,2.432788,15.352530,10.912980,17.719553,2.432788,15.286765,8.887247,20.090947,2.432788,17.658159,6.785953,18.508187,2.432788,16.075399,4.606281,17.667264,2.432788,15.234476,2.345308,21.638576,2.432788,19.205789,0,21.220944,0,21.220944,0,19.643366,0,19.643366,0,16.964159,0,16.964159,0,18.813903,0,18.813903,0,18.418633,0,18.418633,0,13.782897,0,13.782897,0,12.113440,0,12.113440,0,11.462722,0,11.462722,0,10.619192,0,10.619192,0,9.361143,0,9.361143,1,0.000000,0.000000
20.000000,17.510256,2.432788,15.077468,18.313212,17.016103,2.432788,14.583315,16.563507,18.646905,2.432788,16.214118,14.748538,19.811852,2.432788,17.379064,12.865871,15.093755,2.432788,12.660967,10.912980,15.362852,2.432788,12.930064,8.887247,17.459201,2.432788,15.026414,6.785953,15.939400,2.432788,13.506612,4.606281,15.914478,2.432788,13.481690,2.345308,14.615728,2.432788,12.182940,0,14.530387,0,14.530387,0,14.692875,0,14.692875,0,16.747730,0,16.747730,0,15.343205,0,15.343205,0,16.251835,0,16.251835,0,14.782990,0,14.782990,0,13.480871,0,13.480871,0,12.243389,0,12.243389,0,11.810519,0,11.810519,0,10.236149,0,10.236149,1,0.000000,0.000000
20.000000,13.424032,2.432788,10.991245,18.313212,13.849484,2.432788,11.416696,16.563507,16.256051,2.432788,13.823263,14.748538,16.554227,2.432788,14.121439,12.865871,19.529075,2.432788,17.096288,10.912980,17.028289,2.432788,14.595501,8.887247,21.631703,2.432788,19.198915,6.785953,18.850214,2.432788,16.417426,4.606281,21.356426,2.432788,18.923639,2.345308,24.958351,2.432788,22.525563,0,21.180175,0,21.180175,0,29.854916,0,29.854916,0,28.265179,0,28.265179,0,21.395405,0,21.395405,0,19.303817,0,19.303817,0,15.992172,0,15.992172,0,15.798446,0,15.798446,0,16.724970,0,16.724970,0,15.121499,0,15.121499,0,18.642481,0,18.642481,1,0.000000,0.000000
